Label,H3_1,H3_2,H3_3,H4_1,H4_2,H4_3,H3K4me3_1,H3K4me3_2,H3K4me3_3,H3K4me1_1,H3K4me1_2,H3K4me1_3
GBE1,,,,,62445.99609375,,,64549.375,,,,
EFTUD2,252242.604166667,173060.1875,158452.447916667,118939.645833333,667720.229166667,41154.8619791667,568658.0625,297881.494791667,558905.958333333,1053073.04166667,,174666.875
YWHAB,247252.083333333,342688.072916667,903931.833333333,227440.0,587376.333333333,225079.4375,305516.333333333,415282.145833333,857241.9375,808997.375,474103.875,142163.583333333
YWHAE,344377.458333333,192984.125,,317001.916666667,319206.708333333,420294.416666667,285188.229166667,357255.125,748289.125,467195.458333333,356969.375,450898.416666667
YWHAH,123878613.333333,189275882.666667,511789651.5,68233280.0,117526080.0,74353744.0,83119594.6666667,89327194.6666667,131838976.0,51308192.0,72746831.0416667,170911253.333333
YWHAG,659995.416666667,205123.291666667,389621.458333333,212497.65625,288368.979166667,299515.583333333,260899.625,170395.4375,943323.3125,692301.583333333,480152.994791667,534079.5
SFN,262241.3125,246561.479166667,1933884.04166667,,,,59073.546875,255098.755208333,237480.963541667,193438.770833333,59074.3229166667,2588729.17708333
YWHAQ,565323.25,,895782.916666667,,1544132.1875,588536.0625,361865.625,494250.208333333,810395.166666667,1961092.125,973407.333333333,643392.208333333
YWHAZ,1990351.79166667,2217075.29166667,2414331.41666667,1379387.29166667,2936808.91666667,1486455.75,1397009.95833333,963143.916666667,1425937.875,1417559.875,988184.291666667,3494151.83333333
PSMD1,138321.041666667,57316.7604166667,160554.479166667,260097.083333333,296137.6875,263330.166666667,80694.09375,13954.7734375,,61875.15625,94111.4791666667,95781.3645833333
PSMD2,184566.333333333,,183235.270833333,86486.6041666667,162329.927083333,122572.03125,229044.083333333,200138.734375,180253.291666667,169990.958333333,,210568.25
PSMD3,,,,,,,,,,,,
PSMD5,,,,,,,,,132754.229166667,96899.9479166667,,
PSMD7,,961180.1875,,,,1409380.625,,,,,,1542933.375
PSMC1,,162522.833333333,,296833.979166667,468864.28125,125653.052083333,165926.927083333,63167.546875,341140.1875,,,
PSMC3,,,,,,,,,,,,
PSMC2,,,214101.604166667,,,,,76142.65625,2142625.5,1502398.33333333,1036197.52083333,398034.770833333
PSMC5,113177.34375,,,,212228.395833333,217806.776041667,69340.671875,45024.65625,141829.833333333,199106.958333333,125635.177083333,154707.916666667
PDAP1,111104.28125,42898.359375,129784.859375,506012.43359375,536845.0546875,67333.078125,71242.2890625,407482.443359375,520888.234375,397402.5625,663568.3359375,527249.6796875
RPS10,9115032.33333333,4784942.0,7291697.83333333,7741505.83333333,8213695.0,7587256.66666667,7296696.33333333,3856518.08333333,8172235.83333333,11658460.3333333,10444665.1666667,9948990.66666667
RPS11,34760722.0,25761021.3333333,40373826.6666667,27735054.6666667,25084076.0,24277139.0,15747387.6666667,18346737.3333333,25607323.3333333,48691878.6666667,41451346.6666667,31074189.3333333
RPS12,6066022.25,4239614.125,7341476.08333333,4705023.75,6104857.66666667,4360073.83333333,4222327.85416667,3031017.16666667,5696230.91666667,6858245.45833333,5931017.41666667,5803921.125
RPS13,28482763.0,20371022.3333333,37854575.6875,25915147.8541667,26351460.3333333,25062688.0,21431035.6041667,15133551.3333333,23310746.6666667,23705803.3333333,29907241.5729167,26295887.3333333
RPS14,53142903.5,37937520.0,60298401.6666667,41911529.3333333,40368836.5,35910628.8333333,31999816.3333333,28383563.0,45125714.3333333,58640693.3333333,51151891.8333333,51650145.5
RPS15,5536289.4375,4043629.71875,6249125.25,4342857.0,5567867.59375,4303093.84375,2925139.578125,3283870.33984375,5787210.9375,9160760.4375,9119983.0,8010107.625
RPS15A,13317606.6666667,10211580.3333333,17279393.3333333,13525189.3333333,14905173.3333333,9542064.33333333,12311373.0,11345927.3333333,13537688.0,20400201.6666667,17084074.6666667,13529070.0
RPS16,16173054.6666667,10042579.5,14434592.1666667,12370271.0,12950821.1666667,9092277.0,11767735.6666667,8635124.5,14362791.1666667,15106183.0,13499450.8333333,13295324.6666667
RPS17,870854.666666667,558981.59375,3033221.66666667,1760607.45833333,1319065.25,3115993.22916667,1721798.9375,934315.916666667,885865.25,3240106.08333333,3152484.25,2635991.25
RPS18,20329246.6666667,17548389.0,22784281.0,19618115.0,18149738.0,13820223.6666667,19504170.6666667,19535532.6666667,29166398.6666667,32358631.3333333,30204436.6666667,26606862.0
RPS19,3871994.58333333,2631806.25,5789869.0,4953536.5,4921657.08333333,3723415.0,7268970.5,5435179.33333333,7667396.0,6194761.0,6291875.83333333,6774391.16666667
RPS2,34198862.0,26568244.6666667,41200324.0,28442930.3333333,28809908.6666667,17215297.0,20194118.6666667,18371401.0,32911020.0,31234780.6666667,37819618.0,30244434.0
RPS20,7770812.83333333,6715085.22916667,10869811.2916667,7360538.95833333,7016171.75,7310983.79166667,6802641.58333333,4533784.58333333,7248474.5625,8133792.58333333,7717662.625,6759421.16666667
RPS23,34190662.0,24388144.375,34683104.0,23053272.5416667,19663590.375,21170963.8333333,13753816.6666667,11297457.2916667,17062123.3333333,34745199.1666667,26300112.6666667,27599092.0833333
RPS24,13341013.9166667,8493835.0,16751476.3333333,9616924.16666667,9427473.6875,12158811.0,6791524.22916667,3338527.49479167,9342416.4375,13685410.8333333,14954765.0,15151460.2916667
RPS25,34129455.3333333,24866432.0,36653632.0,35841422.0,39984324.6666667,31228515.3333333,35450733.3333333,24201472.6666667,39430835.3333333,36726542.0,36036114.0,32438356.0
RPS26,50733346.0,32289161.1666667,46883088.6666667,34419568.5,35959799.1666667,24491906.6666667,16867914.375,16480997.2291667,34947555.3333333,60764260.0,44922846.0,42116972.3333333
RPS27,4978448.8125,485731.8125,6752655.0,3935526.71875,3578518.84375,1489806.125,2222349.3125,1299869.46875,3820194.53125,7135130.125,5424945.125,4718443.1875
RPS28,2188874.09375,1000424.765625,1998909.46875,1279392.53125,1389671.84375,322436.59375,1155292.46875,805907.875,208766.5625,2231714.3125,1979879.625,2227612.34375
RPS3,29420040.5,26259423.5833333,38223282.25,29969325.0,29728907.3333333,28627313.0833333,20844761.2083333,16194641.8333333,31131688.25,38529385.75,42338915.9166667,26589264.4166667
RPS3A,63615886.0,38324394.0,67526736.6666667,42245536.3333333,35193352.6666667,39046830.6666667,30064005.9166667,27270372.7604167,49585448.0,88634647.7916667,73842123.9166667,70929018.2916667
