Label,normalised_data__H3_1,normalised_data__H3_2,normalised_data__H3_3,normalised_data__H4_1,normalised_data__H4_2,normalised_data__H4_3,normalised_data__H3K4me3_1,normalised_data__H3K4me3_2,normalised_data__H3K4me3_3,normalised_data__H3K4me1_1,normalised_data__H3K4me1_2,normalised_data__H3K4me1_3,comment__comment,H3K4me1vsControl__logFC,H3K4me1vsControl__t,H3K4me1vsControl__P.Value,H3K4me1vsControl__adj.P.Val,H3K4me1vsControl__B,H3K4me1vsControl__significant,H3K4me3vsControl__logFC,H3K4me3vsControl__t,H3K4me3vsControl__P.Value,H3K4me3vsControl__adj.P.Val,H3K4me3vsControl__B,H3K4me3vsControl__significant,H3K4me3vsH3K4me1__logFC,H3K4me3vsH3K4me1__t,H3K4me3vsH3K4me1__P.Value,H3K4me3vsH3K4me1__adj.P.Val,H3K4me3vsH3K4me1__B,H3K4me3vsH3K4me1__significant,coefficient_estimates__ExperimentH4,coefficient_estimates__ExperimentH3,coefficient_estimates__ExperimentH3K4me1,coefficient_estimates__ExperimentH3K4me3,H3K4me1vsControl__logFC_imputed,H3K4me1vsControl__logFC_is_imputed,H3K4me1vsControl__logFC_based_on_single_datapoint,H3K4me3vsControl__logFC_imputed,H3K4me3vsControl__logFC_is_imputed,H3K4me3vsControl__logFC_based_on_single_datapoint,H3K4me3vsH3K4me1__logFC_imputed,H3K4me3vsH3K4me1__logFC_is_imputed,H3K4me3vsH3K4me1__logFC_based_on_single_datapoint
GBE1,,,,,15.37607709755844,,,17.325027023549573,,,,,Insufficient number of non-null values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFTUD2,17.529161698183067,17.503392112626457,16.539555171565997,16.318518362991732,18.794639868823666,14.775579175803916,20.041194764908724,19.531290493979554,19.353649538087385,20.00600400353416,,17.373371496542624,,1.7795466850392465,1.8223346320600229,0.1016147651173642,0.17851818274287462,-5.525209752115017,False,2.731903867326082,3.230379339904478,0.010271630949207198,0.023029215133461883,-3.3950742745470532,True,0.9523571822868355,0.8722954310611993,0.40564311347778337,0.6542886908949168,-6.275122237895975,False,16.629579135873108,17.190702994125175,18.689687750038388,19.642044932325224,1.7795466850392465,False,False,2.731903867326082,False,False,0.9523571822868355,False,False
YWHAB,17.500332405618284,18.48901422224516,19.051719204863087,17.253774682200692,18.609681257747198,17.226878655002807,19.14488286345021,20.01064383925848,19.9707464132968,19.62560542423941,18.853954223996745,17.076317415813357,,0.49672561673696336,0.8583169937069259,0.41075913226386906,0.5168410703260095,-6.837264132285485,False,1.6868576340556238,2.9148055274163593,0.015391047429031496,0.03172286792829719,-3.8571157156976494,True,1.1901320173186605,1.7809713127837803,0.10516998640524822,0.3001442144487441,-5.290686550278887,False,17.696778198316903,18.347021944242183,18.518625688016506,19.708757705335167,0.49672561673696336,False,False,1.6868576340556238,False,False,1.1901320173186605,False,False
YWHAE,17.97834044088601,17.66060041711748,,17.732780241330474,17.72988709126498,18.127844683322664,19.04554779018148,19.79350669938424,19.774639791215105,18.833496652435088,18.444551347625897,18.74156790867968,,0.8317180857596611,3.477229711785495,0.006686181706622108,0.025468273955224212,-2.939243957798423,True,1.6964108764397139,7.0923193855577695,4.9734187037065904e-05,0.0005339730717725012,2.2097112203931726,True,0.8646927906800528,3.2585977960465815,0.00951183764927726,0.07600822994286102,-2.939484818811454,False,17.863504005306044,17.81947042900175,18.67320530291356,19.53789809359361,0.8317180857596611,False,False,1.6964108764397139,False,False,0.8646927906800528,False,False
YWHAH,26.469061152213456,27.59839312251202,28.19684048433781,25.482620436718314,26.25416134305438,25.594705971138943,27.232678161557,27.759507636129012,27.23560520970781,25.6125157812292,26.115491632543076,27.307797141103336,,-0.2540289000372802,-0.5742191890645572,0.578468797027509,0.6631420682750376,-7.04861246672491,False,0.8099665841354557,1.8308875684750634,0.09694486509570757,0.14337635311523067,-5.636020903963316,False,1.063995484172736,2.082883550842932,0.06380507702345606,0.2234448713291549,-4.831718541927168,False,25.777162583637214,27.42143158635443,26.34526818495854,27.409263669131278,-0.2540289000372802,False,False,0.8099665841354557,False,False,1.063995484172736,False,False
YWHAG,18.91680573422924,17.748609560334835,17.837578359400545,17.155735607157546,17.58331209753216,17.639075458117034,18.917128223357974,18.725438698294916,20.108796304547162,19.40087105045609,18.872245215238543,18.98581997390713,,1.2727926104053644,3.5336235015533966,0.0053890035051621125,0.022189160996699625,-2.801725211043,True,1.4369349392714597,3.989327900006978,0.002546842480990523,0.008361825439316874,-2.0211343931220664,True,0.16414232886609526,0.39465158567710784,0.7013615597293517,0.8499304455185013,-6.7003365868803595,False,17.45937438760225,18.16766455132154,19.08631207986726,19.250454408733354,1.2727926104053644,False,False,1.4369349392714597,False,False,0.16414232886609526,False,False
SFN,17.585244708667503,18.014065663756625,20.148934609943186,,,,16.774217494344157,19.30760785086291,18.11885585459321,17.561347385193088,15.849354133168688,21.262937603528684,logFC(H3K4me1vsControl) estimation failed and was imputed; logFC(H3K4me3vsControl) estimation failed and was imputed,,,,,,False,,,,,,False,-0.15765264069672824,-0.11500246710607111,0.9112668422198451,0.953766213111404,-6.776906190860317,False,,18.582748327455775,18.22454637396349,18.066893733266763,-0.35820195349228356,True,False,-0.5158545941890154,True,False,-0.15765264069672824,False,False
YWHAQ,18.693425760315094,,19.03865437666501,,20.00412047684371,18.613575210949932,19.389087419934828,20.261793565817324,19.889669552542223,20.903055807364844,19.891794682735387,19.254463929370456,,0.9289941836301274,1.9479935180113837,0.08712600752205008,0.16153007589265037,-5.414965338222814,False,0.7594062232380239,1.5923871499653615,0.1498211828605944,0.20240265569147609,-5.909586691375471,False,-0.16958796039210355,-0.3326392984458129,0.7479240664663243,0.873074707070251,-6.723234312783315,False,19.30884784389682,18.86604006849005,20.016438139823563,19.84685017943146,0.9289941836301274,False,False,0.7594062232380239,False,False,-0.16958796039210355,False,False
YWHAZ,20.509301270867237,21.18270410148955,20.469057047771162,19.854244353321718,20.931573614945375,19.9502490034307,21.337903752498885,21.224303378962112,20.704883205819065,20.434808170774424,19.913531161944007,21.695635859468737,,0.1984701654247658,0.4909786049615817,0.6340061147650746,0.7068034433459247,-7.095765025840436,False,0.606175213789065,1.499565741739971,0.16452724715086295,0.21751822115167452,-6.1074175995317415,False,0.4077050483642992,0.8734620823802955,0.4028388774417012,0.6542886908949168,-6.385193032627199,False,20.2453556572326,20.72035414004265,20.681325064062392,21.08903011242669,0.1984701654247658,False,False,0.606175213789065,False,False,0.4077050483642992,False,False
PSMD1,16.662370367275102,15.90914721666387,16.558568137707784,17.447338899406084,17.62166422475537,17.453317195554725,17.22416834000944,15.115382598601293,,15.91690257112852,16.521193649569334,16.506582359432162,,-0.6271748135171507,-1.5011010275782717,0.16745940042903024,0.26328513613419763,-6.115341368773806,False,-0.7722922042551268,-1.600787172588692,0.14377540107327294,0.19643867602069542,-5.830744713504356,False,-0.14511739073797614,-0.2690397180101037,0.793945210705318,0.8935695777336421,-6.634826975424557,False,17.507440106572062,16.37669524054892,16.31489286004334,16.169775469305364,-0.6271748135171507,False,False,-0.7722922042551268,False,False,-0.14511739073797614,False,False
