,x_value,x_is_imputed,x_is_one_datapoint,x_is_significant,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_significant,y_is_infinite,z_value,z_is_imputed,z_is_one_datapoint,z_is_significant,z_is_infinite,used_for_normalisation,marcs_feature_classification,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
ABCF1,1.2738228472837925,False,False,True,False,1.0628812933235032,False,False,True,False,0.2109415539602892,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.2738228472837925,1.0628812933235032
ACBD3,-inf,True,False,False,True,1.421232081458328,True,True,False,False,-inf,True,True,False,True,False,,False,True,True,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,<,False,-3.1125,1.421232081458328
ACIN1,0.9809685023103648,False,False,True,False,0.3799679057057261,False,True,False,False,0.6010005966046386,False,True,False,False,False,Neither,True,True,True,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,0.9809685023103648,0.3799679057057261
ACLY,3.098677580073065,False,False,False,False,-1.1508473396992471,False,False,False,False,4.249524919772313,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,3.098677580073065,-1.1508473396992471
ACO1,1.2170404795988148,False,False,True,False,0.7044830882968647,False,True,False,False,0.5125573913019501,False,True,False,False,False,,True,True,True,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,1.2170404795988148,0.7044830882968647
ACTA2,0.6551624369762692,False,False,False,False,-0.2185750403503163,False,False,False,False,0.8737374773265856,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6551624369762692,-0.2185750403503163
ACTB,0.8007830201519326,False,False,True,False,0.0324505375285042,False,False,False,False,0.7683324826234283,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.8007830201519326,0.0324505375285042
ACTBL2,0.7461731058486407,False,False,True,False,-0.2413080993904302,False,False,False,False,0.9874812052390708,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7461731058486407,-0.2413080993904302
ACTL6A,1.4506946444835798,False,False,True,False,1.2255229302692356,False,False,True,False,0.2251717142143441,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.4506946444835798,1.2255229302692356
ACTN1,1.207288201782763,False,False,False,False,-0.6454366649594583,False,False,False,False,1.8527248667422211,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.207288201782763,-0.6454366649594583
ACTN4,1.4038613884744289,False,False,False,False,0.7626762022833127,False,False,False,False,0.641185186191116,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.4038613884744289,0.7626762022833127
ACTR2,0.4670089862470412,False,False,False,False,-inf,True,False,False,True,inf,True,False,False,True,False,,True,False,False,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,v,False,0.4670089862470412,-3.1125
ACTR3,1.082261834620201,False,False,False,False,0.6741218495447789,False,False,False,False,0.4081399850754224,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.082261834620201,0.6741218495447789
ADAR,1.0037815088857656,False,False,True,False,1.0075485538742477,False,False,True,False,-0.0037670449884821,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.0037815088857656,1.0075485538742477
ADNP,1.144654487615913,False,False,True,False,1.0391240149716978,False,False,True,False,0.1055304726442152,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.144654487615913,1.0391240149716978
AFAP1,0.5126707674229394,True,True,False,False,1.8384340484830768,True,True,False,False,-1.3257632810601372,False,True,False,False,False,,True,True,True,True,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,0.5126707674229394,1.8384340484830768
AHCTF1,0.3846735814076432,False,False,False,False,-0.1460646974430233,False,False,False,False,0.5307382788506665,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3846735814076432,-0.1460646974430233
AHCY,-0.066285275693918,False,False,False,False,-1.1625772517912232,False,False,True,False,1.096291976097305,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.066285275693918,-1.1625772517912232
AHNAK,-2.083604718521596,False,False,True,False,-1.251118802321017,False,False,False,False,-0.8324859162005787,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-2.083604718521596,-1.251118802321017
AKAP8,2.018385738523346,False,False,False,False,-0.8133151126292653,False,False,False,False,2.831700851152611,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,2.018385738523346,-0.8133151126292653
ALDH18A1,inf,True,True,False,True,inf,True,False,False,True,1.7572358559524766,False,True,False,False,False,,False,False,True,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,diag-up-right,False,6.11002759053201,5.912803701554099
ALDOA,1.0147974520116492,False,False,False,False,-0.0782857784499846,False,False,False,False,1.0930832304616338,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.0147974520116492,-0.0782857784499846
ALOX12B,0.6783852712629539,False,False,False,False,1.0016871342906732,False,False,False,False,-0.3233018630277193,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6783852712629539,1.0016871342906732
ALYREF,2.153343568890257,False,False,True,False,1.1275391405783672,False,False,True,False,1.02580442831189,False,False,True,False,False,Neither,True,True,False,False,False,False,False,False,#bdbdbd,black,2,0.8,#525252,0.35,8,o,True,2.153343568890257,1.1275391405783672
ANP32B,0.4875080421284856,False,False,False,False,0.2441118496816336,False,False,False,False,0.2433961924468519,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4875080421284856,0.2441118496816336
ANP32E,1.3295470054775258,False,False,True,False,0.0376119244669261,False,False,False,False,1.2919350810105996,False,False,True,False,False,,True,True,False,False,False,False,False,False,#bdbdbd,black,2,0.8,#525252,0.35,8,o,True,1.3295470054775258,0.0376119244669261
ANXA1,0.5797166024259823,False,False,False,False,0.4257234332441548,False,False,False,False,0.1539931691818274,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5797166024259823,0.4257234332441548
ANXA2,0.883851945550191,False,False,True,False,1.2812855361135291,False,False,True,False,-0.3974335905633381,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.883851945550191,1.2812855361135291
ANXA5,0.4654336077068777,False,False,False,False,0.4037001268424482,False,False,False,False,0.0617334808644294,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4654336077068777,0.4037001268424482
ANXA6,0.3147133504179145,False,False,False,False,-0.36678651796176,False,False,False,False,0.6814998683796745,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3147133504179145,-0.36678651796176
AP1G1,0.5920007647540579,False,False,False,False,0.7065267073098411,False,False,True,False,-0.1145259425557831,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5920007647540579,0.7065267073098411
AP2A1,0.8604610944337594,False,False,False,False,0.1733748818933698,False,False,False,False,0.6870862125403896,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.8604610944337594,0.1733748818933698
AP2A2,-inf,True,False,False,True,-0.2396492113803816,True,True,False,False,-inf,True,True,False,True,False,,False,True,True,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,<,False,-3.1125,-0.2396492113803816
AP2B1,1.8264644234875824,False,True,False,False,1.8365710577418533,False,True,False,False,-0.0101066342542708,False,True,False,False,False,,True,True,True,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,1.8264644234875824,1.8365710577418533
AP2M1,0.7727647200435221,False,False,True,False,0.5339069408260464,False,False,False,False,0.2388577792174757,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7727647200435221,0.5339069408260464
APEX1,-0.1851552653633135,False,False,False,False,0.447322208133432,False,False,False,False,-0.6324774734967455,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1851552653633135,0.447322208133432
API5,0.9367650654645489,False,False,True,False,0.329026123239597,False,False,False,False,0.6077389422249517,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.9367650654645489,0.329026123239597
APOBEC3C,-inf,True,False,False,True,0.041417498865492,False,True,False,False,-inf,True,True,False,True,False,,False,True,True,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,<,False,-3.1125,0.041417498865492
ARF4,1.521943300917549,False,False,True,False,1.1444448650467471,False,False,True,False,0.3774984358708018,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.521943300917549,1.1444448650467471
ARG1,0.5276147473623318,False,False,False,False,0.5536031974255415,False,False,False,False,-0.0259884500632097,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5276147473623318,0.5536031974255415
ARGLU1,1.1551796319192036,False,False,False,False,-1.1966957843666215,False,False,False,False,2.351875416285825,False,False,True,False,False,Neither,True,True,False,False,False,False,True,True,#bdbdbd,black,3,0.8,#525252,0.35,8,o,True,1.1551796319192036,-1.1966957843666215
ARPC1B,0.4537677573829981,False,False,False,False,1.2587154568396173,False,False,False,False,-0.8049476994566191,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4537677573829981,1.2587154568396173
ARPC4,1.4485460820055032,False,False,False,False,1.0379136459746867,False,False,False,False,0.4106324360308164,False,False,False,False,False,,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.4485460820055032,1.0379136459746867
ASPH,0.9281753107597908,False,False,True,False,0.885310361928223,False,False,True,False,0.0428649488315677,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.9281753107597908,0.885310361928223
ATP2A2,0.8234250732767379,False,False,False,False,1.4305317863294071,False,False,False,False,-0.6071067130526693,False,False,False,False,False,Neither,True,True,False,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.8234250732767379,1.4305317863294071
ATP2B4,-1.492952303369183,False,True,False,False,0.4869651067113985,False,False,False,False,-1.9799174100805812,False,True,False,False,False,,True,True,True,False,False,False,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,-1.492952303369183,0.4869651067113985
