Label,H3unmod_50bp_repl1,H3K27ac_50bp_repl1,H3K27ac_200bp_scr_repl1,H3K27ac_200bp_SV40enh_repl1,H3K4me1K27ac_50bp_repl1,H3K4me1K27ac_200bp_scr_repl1,H3K4me1K27ac_200bp_SV40enh_repl1,H3unmod_200bp_scr_repl1,H3unmod_200bp_SV40enh_repl1,H3K4me1_50bp_repl1,H3K4me1_200bp_scr_repl1,H3K4me1_200bp_SV40enh_repl1,H3unmod_50bp_repl2,H3K27ac_50bp_repl2,H3K27ac_200bp_scr_repl2,H3K27ac_200bp_SV40enh_repl2,H3K4me1K27ac_50bp_repl2,H3K4me1K27ac_200bp_scr_repl2,H3K4me1K27ac_200bp_SV40enh_repl2,H3unmod_200bp_scr_repl2,H3unmod_200bp_SV40enh_repl2,H3K4me1_50bp_repl2,H3K4me1_200bp_scr_repl2,H3K4me1_200bp_SV40enh_repl2,H3unmod_50bp_repl3,H3K27ac_50bp_repl3,H3K27ac_200bp_scr_repl3,H3K27ac_200bp_SV40enh_repl3,H3K4me1K27ac_50bp_repl3,H3K4me1K27ac_200bp_scr_repl3,H3K4me1K27ac_200bp_SV40enh_repl3,H3unmod_200bp_scr_repl3,H3unmod_200bp_SV40enh_repl3,H3K4me1_50bp_repl3,H3K4me1_200bp_scr_repl3,H3K4me1_200bp_SV40enh_repl3
MYH9,2012982261.33333,2435017808.0,2687300182.875,2974732208.0,2815154592.0,2664790261.33333,2206768744.0,2937641014.91667,1541226568.0,2223823642.66667,2770067875.20833,1907916317.16667,3618605589.33333,1456144178.33333,2935303170.66667,1550303618.66667,2041463104.0,2641709290.66667,1042794261.88542,2936447818.66667,917031124.041667,1417797696.27083,3165053627.66667,3495212080.0,2173417934.0,2077476484.33333,1625335050.41667,1808055605.33333,1905527685.33333,2050247045.33333,1285533021.33333,2407646626.66667,1993102025.95833,1377991546.6875,2111906290.66667,2361873898.66667
SPTAN1,719871989.333333,961095240.0,1060746693.33333,1057861760.0,1056937746.66667,969096221.333333,779775760.0,1022563509.33333,709368541.333333,910241008.0,1053322842.66667,746019874.666667,1328547061.33333,495445033.333333,1046630261.33333,658071677.333333,809375637.333333,869341202.666667,419265118.666667,1107353573.33333,448668189.333333,692504146.666667,988381699.333333,1166329984.0,880399522.666667,727410693.333333,655930037.333333,778221445.333333,811475698.666667,811399496.0,524039746.666667,973666210.666667,806782250.666667,703729692.0,821282629.333333,936018888.0
PRKDC,718967988.0,802030544.0,1040542713.33333,1030530397.33333,835442948.0,879056707.333333,730706725.333333,862981016.0,835770078.666667,1062908234.66667,1011410234.66667,550624888.0,1530982464.0,832452553.333333,939325566.666667,529980434.666667,674184706.666667,638048722.666667,338755096.0,852378621.333333,362175220.0,680984402.666667,835077226.666667,968470993.333333,895442420.666667,645104696.0,828498746.0,741144126.666667,939763402.0,751969241.333333,582989308.333333,1002489334.0,761180236.0,604173473.666667,833125672.0,843050484.0
ACTB,17113852995.8698,20308840972.5417,21432264146.9466,19608203412.7656,20606542701.8542,19327972502.5755,17434711718.0352,21146681297.5898,15321955699.974,21797639432.1094,19505831680.6927,15310087220.2546,26329986346.7865,9500004321.86068,23130412267.25,13560557954.8125,15963756065.0,17245012617.5495,8694693814.18685,24609476936.7865,8788128803.27213,13265467459.4792,23935361153.8333,26052542940.3229,18977350808.6979,19192488018.7526,14254657112.25,18137114754.0729,19333761173.3568,18457578649.9219,12225799781.4395,21276572702.4375,17723075361.0059,17326589530.4512,15048222534.1849,20330816359.9688
SPTBN1,744400720.0,1283231786.66667,1334340586.66667,1233183168.0,1224635946.66667,1386339861.33333,1237536597.33333,793893722.666667,585839402.666667,882657344.0,761299056.0,409200394.666667,948873744.0,3434892096.0,1188148117.33333,894525536.0,1027263477.33333,1217385760.0,570589904.0,853795994.666667,237013216.0,432995200.0,821013034.666667,930290592.0,826839242.666667,1174278528.0,1026504597.33333,1317819712.0,1265980565.33333,2981148053.33333,964983914.666667,962903472.0,802060021.333333,626747168.0,4881266090.66667,842454901.333333
TOP2A,518711252.833333,926220059.333333,2350889645.33333,2628917166.0,755974077.5,1875304854.0,2024827913.33333,1388178248.66667,1731053392.66667,719828661.333333,1651098567.0,1715998426.33333,866739994.666667,665946493.0,2532492964.0,1656364076.33333,566785267.166667,1908073594.66667,1122521211.33333,1707028496.0,934829895.833333,419191297.166667,1650141876.0,3046987323.33333,638905535.0,839547406.833333,1430001295.0,2004960350.66667,622139935.166667,1621433278.0,1746183721.33333,1340910842.0,1551138526.83333,526322863.833333,1182556596.33333,2037519888.66667
MKI67,258501884.916667,404815392.5,359734487.0,281314519.666667,382363764.333333,354990405.333333,220668486.166667,357154522.833333,489802962.0,354835785.333333,384899708.333333,191376723.0,534173028.0,286570738.666667,559407696.666667,182812791.333333,318428439.0,348261570.333333,104558633.791667,423723801.333333,102436700.0,240686280.5,400470632.5,342262363.333333,375175206.666667,318583003.666667,233720409.833333,234293603.666667,351846237.333333,313777378.0,183930152.0625,349908786.0,217909634.5,253914506.333333,306724608.333333,281228715.0
PARP1,241858091.75,891888496.5,2982451101.5,6057793007.875,1206335083.45833,2777206665.83333,5011260953.5625,2692629819.91667,6144269125.41667,1237333693.33333,3038667054.33333,5028501494.3125,1671593148.33333,875985559.5625,3169944769.41667,4410888336.75,649909964.020833,2516106427.54167,2999381030.20833,3635375203.75,3237479947.30208,453381843.020833,2550973392.0,7942794014.33333,1020173295.83333,1018278411.5,1837448421.5625,5866739942.1875,910181226.833333,2410475682.60417,4479503158.75,2293886775.625,5161897226.83333,1081552141.5,1862746756.25,6108647713.08333
LMO7,615226187.416667,878311274.0,844743452.333333,728337564.0,866601219.333333,742654693.333333,581397362.666667,788938943.083333,599355086.333333,782615300.166667,765009581.0,540102915.166667,1028457458.0,381601394.5,778880817.333333,592876478.333333,628700188.666667,629097745.833333,326086880.833333,930494591.0,425404388.0,688326373.333333,812392640.0,836384256.5,681203378.083333,739683861.0,624086587.166667,762622085.333333,826424715.333333,664868683.0,480344041.0,815179152.333333,699997113.333333,689430510.833333,693828882.0,723009225.666667
NUMA1,683645573.333333,672934645.333333,802279189.333333,773976640.0,730897685.333333,594792496.0,720979669.333333,535996944.0,730896152.0,676775282.666667,744289504.0,438347488.0,1055292848.0,721192040.0,734726690.666667,519536125.333333,679225618.666667,523968741.333333,297616930.666667,798422277.333333,293928792.0,580447534.666667,688076176.0,615806218.666667,785084400.0,569338908.0,510886241.333333,582821401.333333,677783906.666667,473365744.0,398662029.333333,602903581.333333,527003840.0,351740742.666667,526892016.0,667475882.666667
