Label,Promoter_PTMs_50bp_repl1,Promoter_PTMs_200bp_scr_repl1,Promoter_PTMs_200bp_SV40prom_repl1,unmodH3_unmodH4_50bp_repl1,unmodH3_unmodH4_200bp_scr_repl1,unmodH3_unmodH4_200bp_SV40prom_repl1,Promoter_PTMs_50bp_repl2,Promoter_PTMs_200bp_scr_repl2,Promoter_PTMs_200bp_SV40prom_repl2,unmodH3_unmodH4_50bp_repl2,unmodH3_unmodH4_200bp_scr_repl2,unmodH3_unmodH4_200bp_SV40prom_repl2,Promoter_PTMs_50bp_repl3,Promoter_PTMs_200bp_scr_repl3,Promoter_PTMs_200bp_SV40prom_repl3,unmodH3_unmodH4_50bp_repl3,unmodH3_unmodH4_200bp_scr_repl3,unmodH3_unmodH4_200bp_SV40prom_repl3
MYH9,1281909400.0,2134529816.0,2497326922.66667,2281092885.33333,2617519130.66667,2035758648.0,2860327751.83333,1788146516.0,1796727008.33333,2444017754.66667,3461079216.0,1853010973.33333,2199156050.66667,1279728580.0,2383846496.0,2562313570.66667,2035036706.66667,1776609202.66667
SPTAN1,524891090.666667,658741096.0,835738218.666667,858530949.333333,880925130.666667,744848885.333333,991336752.0,543429842.666667,553509330.666667,921034133.333333,1152324848.0,727173829.333333,813484496.0,648477914.666667,692914434.666667,903471928.0,842798818.666667,792537786.666667
PRKDC,727042998.0,550639936.666667,716430284.0,809648097.333333,880042685.333333,615931510.229167,654561105.333333,377837073.333333,405702900.666667,801876721.333333,822381432.0,493314362.666667,585910785.333333,1037794424.66667,698567578.666667,675647212.0,607981032.0,618179465.333333
SPTBN1,721178656.0,1222697616.0,1586194144.0,839235984.0,984979648.0,523645226.666667,1537787040.0,1079691285.33333,1061178037.33333,748477189.333333,1188865082.66667,549636400.0,1151615509.33333,1037424320.0,1468142378.66667,762687376.0,786591664.0,827201578.666667
ACTB,12696554098.4375,17200742101.4375,19228484020.8984,18891105394.6354,20858008416.1927,17926949263.7188,22134776208.3438,13237387771.8802,12559520924.8698,22009355928.0,25678425539.513,14875292871.3021,19534455870.9271,14169606771.6146,17650190050.625,21132111548.7396,19219239278.375,18204997549.3802
TOP2A,554415511.333333,2531693646.0,3584402133.33333,617274178.833333,1642797540.66667,1918733830.33333,1191315036.0,1923617953.45833,2432960746.0,751192774.833333,2085391970.66667,1952520672.0,779371218.666667,1845183180.75,2991511168.0,674982895.666667,1306946212.25,1808528292.66667
MKI67,128967712.166667,225101835.666667,227153798.0,359020008.666667,368632723.333333,235934554.666667,309485778.666667,187689345.333333,157256078.666667,970965358.0,423762417.333333,196362400.333333,194638399.666667,197892086.666667,238924718.333333,342459491.0,506935890.666667,232815443.0
LMO7,493753376.666667,606988611.0,772718071.166667,777182734.166667,761473687.333333,613438168.0,1042951402.66667,514897947.666667,519749673.166667,847689832.166667,944352073.166667,734280814.666667,717040894.0,626389312.833333,607990524.0,799733116.666667,752340716.0,681920252.0
PARP1,567555510.458333,1644278862.33333,5973776789.75,735396024.333333,2610608608.5,4923655672.33333,488768962.75,1480298953.79167,3874863474.16667,1291909746.58333,3804219141.0,4924647875.75,826255184.083333,1401275843.35417,4826460108.25,1067926442.75,2261475401.95833,5052813645.66667
ACTA2,1853010286.0,5454773701.33333,6146412467.0,4475074356.66667,6968860812.0,5587378211.66667,5423274504.66667,4095668795.33333,4273357119.66667,6138460424.0,8031129946.33333,4287724023.33333,4942890388.0,2276598188.25,5424408109.66667,5355651374.33333,4267407796.66667,3639044935.16667
XRCC6,1475077382.75,2615509568.66667,3761311761.5,1734012120.5,2677179840.33333,2658139184.33333,2835020476.33333,2114893599.5,2479906876.41667,2246854423.66667,2987760799.83333,2364680840.5,1956045799.0,2451746009.91667,3790549665.25,1622872743.16667,1788814162.0,2857461872.0
KRT1,3760700146.0,3039115431.66667,3150415681.0,4038066981.0,3653061201.66667,2355627372.0,5118903223.33333,2244286077.33333,2631066109.66667,3054822740.66667,2732673802.66667,2685431001.0,3113302698.66667,3486359854.66667,2955731418.66667,3564893845.33333,3045564627.0,2622262510.66667
NPM1,7092217823.66667,7432787296.0,9249401572.33333,10552246780.6667,10324294120.3333,7917708798.5,12520560738.6667,6962616375.33333,6780230737.33333,10954942274.6667,11888293077.3333,8820598824.0,10066491812.0,8536634939.0,9055802997.33333,10043709297.875,9791759810.33333,9587964498.66667
NUMA1,204243769.0,247535244.0,329590290.666667,299171641.333333,388348629.333333,288905682.666667,400891012.0,191903881.333333,225309908.0,361583890.666667,388772636.0,242218962.666667,303201623.333333,209897344.666667,283577464.0,327639198.666667,331058380.0,287903250.666667
ACTN4,248171927.0,363460117.333333,430868856.0,433379202.0,502219766.666667,388752888.0,473187205.333333,289207932.666667,286208526.666667,515733537.333333,533255313.333333,343660446.666667,461364142.666667,307972296.0,372467180.0,494272256.0,370479364.666667,441742402.666667
XRCC5,1862180393.5,3005248808.83333,4133547331.0,2078990927.66667,3122787394.33333,3276638623.0,3428885333.33333,2399373873.0,2806679412.66667,2752644711.33333,3560269294.16667,2709356432.33333,2531349859.58333,2553741550.5,3766646553.83333,2253125523.91667,2399027389.66667,3249064382.08333
SUPT16H,1128707669.33333,580592257.5,1014982782.0,2080247872.0,1204959253.33333,801736560.0,2832980224.0,546955341.333333,663724803.0,1985327296.0,1431602479.33333,768707032.0,1244006357.33333,667468392.0,928462380.0,1312430176.0,1023816114.66667,983280773.333333
RFC1,436145536.0,689049612.666667,863343389.333333,741281661.333333,840526866.0,706753214.0,914302050.666667,607508804.0,654876074.0,788838482.0,1079614109.33333,686302696.333333,630789888.0,516256861.333333,737450925.333333,732256782.666667,616600182.666667,591749496.0
ALPI,2030792025.66667,1934032545.125,2706650394.83333,3125770411.5,3113940127.41667,1651325469.88542,3622289625.0,1632612705.75,1791135179.58333,3426290520.5,3629367110.0,2134093695.83333,2871586348.33333,2457704120.5,2652842741.33333,2796920898.0,2592622592.0,2686564942.0
DHX9,438975339.333333,592649773.333333,687522104.0,782044405.333333,761218837.333333,588390408.0,822609160.0,490407886.0,488474723.333333,825532055.5,936115985.333333,566171294.666667,746747840.0,570751121.333333,680994449.604167,759402281.333333,673837674.166667,620515614.666667
SPTBN2,89582926.6666667,123703060.0,155646616.0,169252777.333333,117635053.333333,85093480.0,148153265.333333,81698659.3333333,89344504.0,184938010.666667,161925229.333333,172252685.333333,116686542.0,99039853.3333333,100839376.0,118092856.0,144083420.0,115671699.333333
DDX21,617830297.416667,862084504.666667,1084843862.66667,1202821741.16667,1248433524.0,877712721.0,1269819283.83333,667415990.0,710762249.333333,1388638678.33333,1428418704.25,846972550.666667,1112267221.25,880173311.5,1264810380.5,1169394811.0,981419942.25,969433421.333333
SRRM2,494120789.333333,654922074.666667,925511629.333333,586066133.333333,690842560.0,725157704.0,923458954.666667,567443173.333333,671439916.0,660641461.333333,763714448.0,768665224.0,682419429.333333,647750144.0,684588352.0,668757109.333333,707618224.0,819806992.0
ACTN1,150188285.0,224209608.666667,237614361.333333,244171542.666667,259333280.0,225723968.333333,278032822.666667,179132691.666667,177870401.333333,254199771.333333,325357730.0,158153871.333333,235129936.666667,174772518.0,252545213.333333,253271936.666667,230440976.666667,231556062.0
KRT9,2937105520.33333,2542730139.16667,3006369240.0,3171737634.66667,3509866050.0,2304049704.16667,5547158903.33333,2076512170.83333,2281125790.16667,3408751498.66667,3005347797.95833,2341851758.25,2647298865.25,2798657040.33333,2439871572.0,3232208450.83333,2982715748.0,2847581983.375
ACTBL2,23280878.0,25129561.0,15349379.0,9154905.0,37909176.0,21965618.0,26004776.0,16013980.5,21524488.0,34295384.0,30447842.0,12743762.0,20685110.0,,24568434.0,28106156.0,14659940.0,41246573.0
TOP1,596497448.0,1641558603.83333,3037585335.0,949774123.125,1769569275.79167,2776223255.5,1188418154.66667,1408345675.83333,2293357574.5,1084422370.41667,2462803156.5,2937000216.66667,927932426.791667,1416617305.29167,2718318737.16667,1015078272.0,1557771873.91667,2534972306.75
