Label,H3K9me3_45bp__1,H3K9me3_50bp__1,H3K9me3_55bp__1,H3K27me3_35bp__1,H3K27me3_40bp__1,H3K27me3_45bp__1,H3K27me3_50bp__1,H3K27me3_55bp__1,H3unmod_35bp_1,H3unmod_40bp_1,H3unmod_45bp_1,H3unmod_50bp__1,H3unmod_55bp_1,H3K9me3_35bp_1,H3K9me3_40bp_1,H3K9me3_45bp__2,H3K9me3_50bp__2,H3K9me3_55bp__2,H3K27me3_35bp__2,H3K27me3_40bp__2,H3K27me3_45bp__2,H3K27me3_50bp__2,H3K27me3_55bp__2,H3unmod_35bp_2,H3unmod_40bp_2,H3unmod_45bp_2,H3unmod_50bp__2,H3unmod_55bp_2,H3K9me3_35bp_2,H3K9me3_40bp_2,H3K9me3_45bp__3,H3K9me3_50bp__3,H3K9me3_55bp__3,H3K27me3_35bp__3,H3K27me3_40bp__3,H3K27me3_45bp__3,H3K27me3_50bp__3,H3K27me3_55bp__3,H3unmod_35bp_3,H3unmod_40bp_3,H3unmod_45bp_3,H3unmod_50bp__3,H3unmod_55bp_3,H3K9me3_35bp_3,H3K9me3_40bp_3
MYH9,6819963609.45573,3963794147.70833,2897326988.36979,2612789482.12109,3547798723.24479,5158552684.78385,4680399747.95833,3737984123.44792,5536169994.88802,4129462020.69531,3946366636.62109,5153228809.5,5842252071.80729,3670591223.25,4075236534.89583,3515052884.97917,8365167930.5599,2507403506.09375,470267705.463542,4452103686.50521,2561618762.16667,6552562427.63021,2243576521.96224,3355472424.04167,2166182876.25521,3121982184.57552,6759068728.91667,3094617866.14583,3456359104.16667,1308864383.38542,3231897590.72135,2928042087.58333,3241749606.32682,3071326777.01563,3439634545.51302,4917671233.30729,3194571065.83333,2376342216.16667,3601253103.17057,3044944400.02083,2370097819.21615,2235994951.66667,2117591630.97917,2953361504.51302,3526134636.61458
CONT_P22629,167860832422.146,99681952458.7292,80499412119.3958,84287456108.4036,116885938236.229,135194215196.005,120474535465.854,108332586414.125,165219434164.229,171815625414.844,163074419409.654,106194457725.531,153102971319.036,116634471888.979,100047380578.313,143483047955.172,163235182810.684,107068350540.976,24402970493.2676,85049075666.3034,96005639832.0313,134076769467.234,84648149724.4036,134534335337.625,98845408917.3125,152588429867.292,219844214029.271,166609005831.279,150268293549.5,85089870439.7135,150217443215.81,183589757100.508,151990171597.518,114232366142.003,173190726849.85,154311794211.174,163570925170.003,149096071380.081,125069807359.729,131570474731.958,147674325758.096,150122317577.286,143406454111.99,110287437333.904,173428344832.154
SPTAN1 (1),411537144.916667,304932918.958333,301096827.041667,239264234.666667,325926471.083333,297919927.25,354183158.541667,317595663.833333,377629252.8125,436802845.333333,342413741.333333,411291551.75,324311315.708333,311842625.25,353476139.625,297430736.5,506810204.25,227962751.333333,12033145.1979167,290610106.0,237965832.854167,411744060.0,199854169.333333,327540700.083333,218704752.583333,274504848.083333,427356584.0,263940959.0,290668780.916667,147787768.083333,313938953.666667,264508361.291667,277560448.666667,259220363.333333,296648361.333333,315457966.125,274318505.145833,213617215.104167,243176106.041667,297563289.8125,208509733.5,221492615.166667,216614292.916667,275257493.0,290491586.25
SPTAN1 (2),96864306.0,69740935.0,105699542.75,21271338.0,30497786.0,36688128.0,27166155.0,97953203.75,37727289.75,28148809.5,50816666.375,14045454.0,60734085.5,19972053.0,17437443.0,45265943.0,148376842.0,53322054.0,376599.46875,23328857.0,81338840.125,72852763.25,48447750.0,12426885.0,104420825.0,35759742.0,62907761.0,41072697.5625,38629981.0,20350117.65625,36400490.0,13622582.0,10910553.0,16000198.9375,25863044.0,63293834.0,13682551.0,30014792.0,21262393.0,12736558.0,39965278.75,36437548.0,27816901.0,21269476.0,27142641.0
SPTBN1,842317029.333333,427336900.75,377959019.625,311699390.666667,430368374.666667,563913973.333333,523953578.666667,435457029.333333,686263432.0,574496585.333333,512987800.0,587673482.666667,626546105.333333,418852668.0,482908130.666667,411360433.333333,868931108.0,295448505.333333,39081537.5833333,461345580.0,316992369.333333,644030822.666667,266537774.666667,417003516.0,242187942.666667,378908466.666667,687470808.0,376634326.666667,403432458.666667,134134394.666667,391751142.666667,335538642.0,349364743.666667,346296178.666667,427267156.0,572594169.333333,360493353.333333,289056401.333333,409911349.333333,376759590.666667,309650373.333333,313065308.666667,289716006.833333,352307954.666667,448546890.666667
PRKDC,976381839.333333,527478094.0,402743166.666667,550160398.666667,646249559.333333,787388477.0,655160383.333333,499774134.333333,829527562.0,712689568.0,742100747.333333,695803675.333333,897309692.666667,796954610.666667,684131572.0,638545810.0,1160736125.33333,534960174.666667,624922054.666667,753250998.0,530735774.666667,1023829572.66667,676347123.333333,550188400.0,333883042.0,566301072.0,1024392523.33333,574035252.666667,658122941.333333,306790351.5,694463648.0,667749424.0,659228559.666667,490344736.666667,704869637.0,930718862.0,680618888.666667,698558089.333333,770767306.666667,629737782.333333,653700974.333333,583876410.333333,635660696.0,530219573.666667,843196180.0
ACTC1,16703701654.25,12764360792.0833,10638219639.6667,7260736551.57552,9915539972.48958,11642529280.7292,12568265665.0208,13323848070.2604,11213514512.875,9843709917.9375,12193762477.1628,14088266137.5208,11447817891.625,8052577497.65625,11799996689.2083,9974455150.03906,22089148319.7917,8055579025.25521,73586959.765625,12419961973.972,7535752259.03125,16883737067.3698,6351081043.33854,10060503646.6406,7969891709.08854,7469091444.08333,18838093985.3125,9867944378.82552,7400578905.16667,1714840175.21875,7709908598.84896,7354213148.88151,7755833327.05469,6330443299.20052,8245699915.86198,11018639720.7214,7389860048.95313,4787088129.23698,7614938966.64323,9156909862.4401,5520057331.78646,4847356531.03125,4701086222.41667,7342585510.76563,6421449619.0625
XRCC6,5279816747.5,3025774885.16667,2029961202.39583,1975519751.66667,2448653628.83333,3550466085.29167,3305437760.40104,2565071168.08333,3553818935.41667,3042661453.83333,3275267419.02083,3165749624.08333,3864468464.29167,2464239711.3125,2742548528.25,3049256110.625,6242746526.66667,2284175958.97917,342885884.6875,3192353170.82031,2540451726.25,4960662313.0,2908341108.96354,2339432059.85417,1484744384.04167,2569459097.70833,4913128192.25,2200041930.48958,2331194282.64583,1201608715.03125,3095872282.41667,2705719392.0,2353596131.33333,1511496685.65365,2370505815.54167,3688528663.79167,2607741653.33333,2517078125.41667,2919355557.33333,2491137143.08333,2593105712.89583,2126009950.29167,1920412311.625,2007457108.625,3149606614.5
XRCC5,5412445973.04167,3559115662.89583,2352656535.95313,2284349120.33333,2709783997.54688,3939021068.07292,3594052176.25,2901301875.33333,3895585276.47917,3316405969.375,3580081904.79167,3534094282.75,4109824803.625,2543332438.75,3077650279.20833,3546383545.08333,6376531422.66667,2586294567.25,349562938.863281,3340864803.0,3032389619.4375,5515066810.66667,3230760738.2474,2799104410.4375,1920953410.83333,3035544318.16667,5476389563.41667,2579827954.42708,2956227697.08333,1405021330.5,3426615339.0,3159195476.91667,2653799045.375,1748612397.33333,2790551239.52083,4225086368.16667,2812566376.54167,2729855720.66667,3092655262.39583,2894502760.25,2758768843.76563,2430994440.54167,2098970789.83333,2407155163.58333,3640521940.375
ALPI,7739108899.30729,4754748457.47917,3962259980.10417,3568702597.55469,5439867004.22396,6022985833.56771,5745604222.78646,4826298918.04167,7152084362.42708,6467541669.38151,5622146041.36719,6641328373.29167,6849953159.71875,5258758322.54688,5386067808.65625,4464326506.0,8596833631.59375,3080133393.48958,548244584.03125,4681390740.51563,3132511140.34896,6818687676.04688,2919736108.82943,4634370391.41927,2360765092.61979,4031862797.63542,7724339008.6901,3996348175.28646,4468645447.86979,1829889099.78125,4672997120.93229,3925499604.30208,4416126486.02865,4097065048.6276,4462486146.28125,5607042061.16146,4389980872.29427,3560245369.13672,4233251727.68359,4159703459.25,3453641675.54688,3592195020.5625,3363645035.80208,4127597691.16667,4718710098.79167
