Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,4.029229995646741,False,True,False,-1.1936127558759717,False,True,False,False,True,False,False,True,True,True,False,False,False,True,True,#4B82B6,#4B82B6,4,0.8,#525252,0.35,4,o,False,4.0,-1.1936127558759717
FIP1L1,0.6622556321082023,False,False,False,-1.7850774610486937,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6622556321082023,-1.7850774610486937
FLOT2,0.047303744083166,False,False,False,-1.6189392229765185,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.047303744083166,-1.6189392229765185
IRX4,0.125595516170673,False,False,False,-0.783589663167394,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.125595516170673,-0.783589663167394
RRP8,-0.4356219935765644,False,False,False,-1.0275385588604138,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.4356219935765644,-1.0275385588604138
APTX,-0.2084867509077277,False,False,False,-1.0100771866438016,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.2084867509077277,-1.0100771866438016
SLTM,-0.3544575637708291,False,False,False,-1.0801570918708912,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.3544575637708291,-1.0801570918708912
NVL,0.0612139245202705,False,False,False,-1.1454217490463492,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0612139245202705,-1.1454217490463492
NDUFA4,-0.1456504862904637,False,False,False,-1.3558010447756388,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.1456504862904637,-1.3558010447756388
ARHGAP21,-0.0296970581256452,False,False,False,-0.745488179106939,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0296970581256452,-0.745488179106939
TAF1D,-0.4628519591003979,False,False,False,-0.5446748033857318,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4628519591003979,-0.5446748033857318
RIOX2,-0.2748016434005897,False,False,False,-1.3857069670260138,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.2748016434005897,-1.3857069670260138
