Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,0.3125839198358662,False,True,False,-4.910258831686846,False,True,False,False,True,False,False,True,False,True,False,False,True,,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,v,False,0.3125839198358662,-4.1
FIP1L1,2.083360556250053,False,False,False,-0.3639725369068429,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,2.083360556250053,-0.3639725369068429
FLOT2,1.4936980323109663,False,False,False,-0.1725449347487178,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.4936980323109663,-0.1725449347487178
IRX4,1.0513623088350634,False,False,False,0.1421771294969964,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.0513623088350634,0.1421771294969964
RRP8,0.597271635546182,False,False,False,0.0053550702623326,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.597271635546182,0.0053550702623326
APTX,0.7196189972359903,False,False,False,-0.0819714385000836,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.7196189972359903,-0.0819714385000836
SLTM,0.5794759814505746,False,False,False,-0.1462235466494874,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.5794759814505746,-0.1462235466494874
NVL,0.934395344155078,False,False,False,-0.2722403294115416,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.934395344155078,-0.2722403294115416
NDUFA4,1.199337722986833,False,False,False,-0.0108128354983421,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.199337722986833,-0.0108128354983421
ARHGAP21,0.7278557126029028,False,False,False,0.0120645916216091,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7278557126029028,0.0120645916216091
TAF1D,0.6193676194927527,False,False,False,0.5375447752074187,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6193676194927527,0.5375447752074187
RIOX2,0.8059240865604522,False,False,False,-0.3049812370649718,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.8059240865604522,-0.3049812370649718
MPHOSPH10,2.1607152280727604,False,False,False,-0.001544246950349,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,2.1607152280727604,-0.001544246950349
DEK,1.0992737626762548,False,False,False,0.1446126703025214,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.0992737626762548,0.1446126703025214
QSER1,1.196928028882141,False,False,False,0.5159902443819995,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.196928028882141,0.5159902443819995
