Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,-1.1936127558759717,False,True,False,-4.910258831686846,False,True,False,False,True,False,False,True,False,True,False,False,True,,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,v,False,-1.1936127558759717,-4.1
FIP1L1,-1.7850774610486937,False,False,False,-0.3639725369068429,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-1.7850774610486937,-0.3639725369068429
FLOT2,-1.6189392229765185,False,False,False,-0.1725449347487178,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-1.6189392229765185,-0.1725449347487178
IRX4,-0.783589663167394,False,False,False,0.1421771294969964,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.783589663167394,0.1421771294969964
RRP8,-1.0275385588604138,False,False,False,0.0053550702623326,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-1.0275385588604138,0.0053550702623326
APTX,-1.0100771866438016,False,False,False,-0.0819714385000836,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-1.0100771866438016,-0.0819714385000836
SLTM,-1.0801570918708912,False,False,False,-0.1462235466494874,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-1.0801570918708912,-0.1462235466494874
NVL,-1.1454217490463492,False,False,False,-0.2722403294115416,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-1.1454217490463492,-0.2722403294115416
NDUFA4,-1.3558010447756388,False,False,False,-0.0108128354983421,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-1.3558010447756388,-0.0108128354983421
ARHGAP21,-0.745488179106939,False,False,False,0.0120645916216091,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.745488179106939,0.0120645916216091
