Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,-0.1677617421271264,False,True,False,-0.4287050514411632,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,-0.1677617421271264,-0.4287050514411632
FIP1L1,-0.1088885041638825,False,False,False,-2.396943309765142,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.1088885041638825,-2.396943309765142
FLOT2,0.0224686221701624,False,False,False,-1.7152707565332008,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.0224686221701624,-1.7152707565332008
IRX4,-0.3094745765528017,False,False,False,-1.2454696233927471,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.3094745765528017,-1.2454696233927471
RRP8,0.1237873642488978,False,False,False,-0.2558539948812282,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1237873642488978,-0.2558539948812282
APTX,0.1215716817038696,False,False,False,-0.7888685927562058,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1215716817038696,-0.7888685927562058
SLTM,-0.0900351956643987,False,False,False,-0.6695347178516471,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0900351956643987,-0.6695347178516471
NVL,-0.6599376924372393,False,False,False,-1.5109917250753249,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.6599376924372393,-1.5109917250753249
NDUFA4,-0.153399502667419,False,False,False,-1.4301160820359726,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.153399502667419,-1.4301160820359726
ARHGAP21,-0.384560801007936,False,False,False,-1.5125115186126763,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.384560801007936,-1.5125115186126763
TAF1D,-0.6752917148063737,False,False,False,-1.188269694360084,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.6752917148063737,-1.188269694360084
RIOX2,-0.4963892202459128,False,False,False,-1.2376148069520134,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.4963892202459128,-1.2376148069520134
MPHOSPH10,0.1884915223108478,False,False,False,-2.26795815483008,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.1884915223108478,-2.26795815483008
DEK,0.1176453424133114,False,False,False,-0.6696765860753437,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1176453424133114,-0.6696765860753437
QSER1,-0.0617643249969823,False,False,False,-1.203756454409202,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.0617643249969823,-1.203756454409202
ATP6V1A,0.3047913404389,False,False,False,0.0263997577760939,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3047913404389,0.0263997577760939
RPL37A,-0.4517651671748375,False,False,False,-0.559814023896358,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4517651671748375,-0.559814023896358
HMGN4,1.3236734729713184,False,False,False,-0.8939731531756578,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.3236734729713184,-0.8939731531756578
CDC6,0.3954277974502851,False,False,False,-1.3985627886969816,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,o,False,0.3954277974502851,-1.3985627886969816
HMGN1,0.364442241171055,False,False,False,-1.2958090671767053,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.364442241171055,-1.2958090671767053
L3MBTL3,0.3176931976652675,False,False,False,0.5248731789406911,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3176931976652675,0.5248731789406911
E4F1,-0.141272962121981,False,False,False,-3.010129647436713,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.141272962121981,-3.010129647436713
ZNF131,-0.066681996839069,False,False,False,-0.4288050305568873,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.066681996839069,-0.4288050305568873
AFF4,-0.5205987824399188,False,False,False,-1.717112010888222,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.5205987824399188,-1.717112010888222
KMT2B,0.3035838934565227,False,False,False,1.5742651507686958,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,o,False,0.3035838934565227,1.5742651507686958
MTF2,0.5284227507618269,False,False,False,-0.9702340722197428,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5284227507618269,-0.9702340722197428
ORC1,0.4576455267343924,False,False,False,1.7230379204839004,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.4576455267343924,1.7230379204839004
RBMS2,1.535778192573538,False,False,False,0.9570089143148124,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.535778192573538,0.9570089143148124
SKP1,0.3983297613319365,False,False,False,1.5944276812189742,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.3983297613319365,1.5944276812189742
BANF1,0.6507992695118823,False,False,False,1.2552717084201177,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.6507992695118823,1.2552717084201177
GTF2H4,1.7217889706884186,False,False,False,inf,True,False,True,False,True,False,False,True,False,False,True,True,True,,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,^,False,1.7217889706884186,4.0
FANCM,1.3030595473801403,False,True,False,inf,True,False,True,False,False,False,False,True,False,True,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,^,False,1.3030595473801403,4.0
HNRNPA1,0.683505392327433,False,False,False,0.0783526257830864,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.683505392327433,0.0783526257830864
SETD2,1.0859468525357734,False,False,False,0.3711208480371368,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.0859468525357734,0.3711208480371368
IMPDH2,0.8676829227590446,False,False,False,0.7117660433723785,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.8676829227590446,0.7117660433723785
HLTF,1.6179072470717273,False,False,False,0.728606890997991,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.6179072470717273,0.728606890997991
MUS81,2.934175158453808,False,False,False,1.6868879047290584,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,2.934175158453808,1.6868879047290584
