Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,4.029229995646741,False,True,False,-1.584790879131738,False,True,False,False,True,False,False,True,True,True,False,False,False,True,True,#4B82B6,#4B82B6,4,0.8,#525252,0.35,4,o,False,4.0,-1.584790879131738
FIP1L1,0.6622556321082023,False,False,False,-0.8004258630135404,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6622556321082023,-0.8004258630135404
FLOT2,0.047303744083166,False,False,False,-1.2716903662053944,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.047303744083166,-1.2716903662053944
IRX4,0.125595516170673,False,False,False,-0.2746840009044966,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.125595516170673,-0.2746840009044966
RRP8,-0.4356219935765644,False,False,False,-0.41113276855096,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4356219935765644,-0.41113276855096
APTX,-0.2084867509077277,False,False,False,-0.2811793107640028,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2084867509077277,-0.2811793107640028
SLTM,-0.3544575637708291,False,False,False,-0.2969698086834995,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3544575637708291,-0.2969698086834995
NVL,0.0612139245202705,False,False,False,0.1004026076307411,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0612139245202705,0.1004026076307411
NDUFA4,-0.1456504862904637,False,False,False,-0.345283962290619,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1456504862904637,-0.345283962290619
ARHGAP21,-0.0296970581256452,False,False,False,-0.0231231390536095,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0296970581256452,-0.0231231390536095
TAF1D,-0.4628519591003979,False,False,False,-0.5201051602245386,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4628519591003979,-0.5201051602245386
RIOX2,-0.2748016434005897,False,False,False,-0.5195695379360039,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2748016434005897,-0.5195695379360039
MPHOSPH10,-0.0890840288483652,False,False,False,-0.0439113025337896,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0890840288483652,-0.0439113025337896
DEK,-0.2156912855596644,False,False,False,-0.4934018073070909,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2156912855596644,-0.4934018073070909
QSER1,-0.2961983676470758,False,False,False,-1.170634677701031,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2961983676470758,-1.170634677701031
ATP6V1A,0.2561517233478376,False,False,False,0.0376031132559262,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.2561517233478376,0.0376031132559262
RPL37A,-0.6483742634561054,False,False,False,-0.2560899944755697,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.6483742634561054,-0.2560899944755697
HMGN4,0.3215576795041244,False,False,False,0.0871191424355721,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3215576795041244,0.0871191424355721
CDC6,-0.2440499430983145,False,False,False,0.5809972085049395,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2440499430983145,0.5809972085049395
HMGN1,0.2328770803419679,False,False,False,0.1361120250938299,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2328770803419679,0.1361120250938299
L3MBTL3,0.3425364534603794,False,False,False,1.641400516200374,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3425364534603794,1.641400516200374
E4F1,1.4159531283996536,False,False,False,2.1552035561691234,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.4159531283996536,2.1552035561691234
ZNF131,0.2977646109242613,False,False,False,1.2143596786525173,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2977646109242613,1.2143596786525173
AFF4,0.0796274745820895,False,False,False,0.8212027801508022,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0796274745820895,0.8212027801508022
KMT2B,0.7171306116358878,False,False,False,0.3553072270982795,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7171306116358878,0.3553072270982795
MTF2,0.6377278906583612,False,False,False,0.2304982179986154,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6377278906583612,0.2304982179986154
ORC1,-0.192350487724731,False,False,False,0.4037307996353938,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.192350487724731,0.4037307996353938
RBMS2,0.8967221485736125,False,False,False,1.5096680774279925,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.8967221485736125,1.5096680774279925
SKP1,0.3708974473527355,False,False,False,0.4778889572429143,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3708974473527355,0.4778889572429143
BANF1,0.4169249912906423,False,False,False,0.5908331373265838,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4169249912906423,0.5908331373265838
GTF2H4,0.7618429338848784,False,False,False,3.255514712936044,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.7618429338848784,3.255514712936044
FANCM,0.8827246619894957,False,True,False,2.6682012791360563,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,o,False,0.8827246619894957,2.6682012791360563
HNRNPA1,0.513872529360242,False,False,False,0.7858257751267459,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.513872529360242,0.7858257751267459
SETD2,0.3616748451625859,False,False,False,1.0954247572690932,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3616748451625859,1.0954247572690932
IMPDH2,0.4098790020700065,False,False,False,0.7762873708753695,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4098790020700065,0.7762873708753695
HLTF,0.4687426231257738,False,False,False,0.2340329291670322,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4687426231257738,0.2340329291670322
MUS81,0.7753920884799435,False,False,False,0.1429879036719832,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7753920884799435,0.1429879036719832
FOSL1,0.9772989143958206,False,False,False,0.3293957041311053,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.9772989143958206,0.3293957041311053
HMGB2,0.5035387235972593,False,False,False,0.7061414442211635,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5035387235972593,0.7061414442211635
PARP1,1.1633165087364752,False,False,False,0.7789530208645346,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.1633165087364752,0.7789530208645346
LUC7L3,0.7380154881831871,False,False,False,0.5543045823821053,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7380154881831871,0.5543045823821053
TFAM,0.5824583136178845,False,False,False,0.5350439037738752,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5824583136178845,0.5350439037738752
NTHL1,0.7403488359762065,False,False,False,0.7313284513227316,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7403488359762065,0.7313284513227316
FBXL6,0.7869088972404228,False,False,False,0.2206103401601566,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.7869088972404228,0.2206103401601566
PDE8A,1.17907536469178,False,False,False,0.9035040279122236,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.17907536469178,0.9035040279122236
ACACA,1.0480154270622322,False,False,False,0.9702326052474212,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.0480154270622322,0.9702326052474212
DDB2,0.7274527532987847,False,False,False,1.0030982559161077,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.7274527532987847,1.0030982559161077
NUSAP1,0.952942174713268,False,False,False,1.088484090050983,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.952942174713268,1.088484090050983
MSH3,1.0633122638668482,False,False,False,1.31427611636963,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.0633122638668482,1.31427611636963
HNRNPK,0.8016131831487208,False,False,False,0.899910974305616,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.8016131831487208,0.899910974305616
BACH1,1.136213983744213,False,True,False,inf,True,False,True,False,False,False,False,True,False,True,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,^,False,1.136213983744213,4.0
CTCF,1.1963182040689233,False,False,False,1.6515059717455929,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.1963182040689233,1.6515059717455929
ZFX,0.992179888176139,False,False,False,1.5520367292231612,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.992179888176139,1.5520367292231612
MAZ,2.2518989447720976,False,False,False,2.6108664994509425,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,2.2518989447720976,2.6108664994509425
YBX1,1.2294799624376012,False,False,False,1.74574632916093,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.2294799624376012,1.74574632916093
SUB1,3.0105140891405,False,False,False,3.291107692320999,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,#4B82B6,#4B82B6,4,0.8,#525252,0.35,8,o,False,3.0105140891405,3.291107692320999
KLF13,2.0428489815054043,False,False,False,2.7443213535149127,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,o,False,2.0428489815054043,2.7443213535149127
TEAD1,2.3551408749272085,False,False,False,2.246867325886498,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,2.3551408749272085,2.246867325886498
MAFF,0.7630853343968589,False,False,False,0.9024304041491896,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7630853343968589,0.9024304041491896
HMGA1,0.4968737046871538,False,False,False,0.7624279512576706,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4968737046871538,0.7624279512576706
TOP2A,0.3969499532518696,False,False,False,0.6424794001290763,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3969499532518696,0.6424794001290763
LIG3,0.8512766426368046,False,False,False,0.5549299440731481,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.8512766426368046,0.5549299440731481
LIN54,2.182085732560097,False,False,False,1.09977175823078,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,2.182085732560097,1.09977175823078
NIPSNAP2,1.19989134023594,False,False,False,0.2202359302176937,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.19989134023594,0.2202359302176937
BRMS1,0.7201018375984205,False,True,False,1.0920150638207744,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,0.7201018375984205,1.0920150638207744
HOXC10,0.8126495034617989,False,False,False,1.5290386766479038,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.8126495034617989,1.5290386766479038
MECP2,0.9529913639467722,False,False,False,0.8852294669934189,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.9529913639467722,0.8852294669934189
ATF1,1.5234833980516989,False,False,False,1.0132483882100871,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.5234833980516989,1.0132483882100871
RMI2,2.839691261456977,False,False,False,1.5924764346415046,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,2.839691261456977,1.5924764346415046
MITF,2.861173602440836,False,False,False,1.7979734490719572,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,2.861173602440836,1.7979734490719572
CREB1,1.3145040291857626,False,False,False,0.9034714240608892,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.3145040291857626,0.9034714240608892
ATF2,3.5162474972381723,False,False,False,1.8241158455363475,False,False,False,True,True,True,False,True,True,False,False,False,False,True,True,#786D9B,#786D9B,5,0.8,#525252,0.35,8,o,False,3.5162474972381723,1.8241158455363475
