Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,1.3195891476386628,False,True,False,-4.294431727139816,False,True,False,False,True,False,False,True,False,True,False,False,True,,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,v,False,1.3195891476386628,-4.1
FIP1L1,0.7814171779767491,False,False,False,-0.6812643171449935,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7814171779767491,-0.6812643171449935
FLOT2,1.0328899035836765,False,False,False,-0.2861042067048842,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.0328899035836765,-0.2861042067048842
IRX4,0.92712238741046,False,False,False,0.5268428703352903,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.92712238741046,0.5268428703352903
RRP8,0.4863276083080983,False,False,False,0.5108168333337026,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4863276083080983,0.5108168333337026
APTX,0.6446363113270408,False,False,False,0.5719437514707657,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6446363113270408,0.5719437514707657
SLTM,0.3073371435661087,False,False,False,0.3648248986534383,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3073371435661087,0.3648248986534383
NVL,0.0197074879804262,False,False,False,0.0588961710908968,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0197074879804262,0.0588961710908968
NDUFA4,0.3310064381514408,False,False,False,0.1313729621512855,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3310064381514408,0.1313729621512855
ARHGAP21,0.2136967899822472,False,False,False,0.220270709054283,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2136967899822472,0.220270709054283
