Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,-1.584790879131738,False,True,False,-4.294431727139816,False,True,False,False,True,False,False,True,False,True,False,False,True,,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,v,False,-1.584790879131738,-4.1
FIP1L1,-0.8004258630135404,False,False,False,-0.6812643171449935,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.8004258630135404,-0.6812643171449935
FLOT2,-1.2716903662053944,False,False,False,-0.2861042067048842,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-1.2716903662053944,-0.2861042067048842
IRX4,-0.2746840009044966,False,False,False,0.5268428703352903,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2746840009044966,0.5268428703352903
RRP8,-0.41113276855096,False,False,False,0.5108168333337026,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.41113276855096,0.5108168333337026
APTX,-0.2811793107640028,False,False,False,0.5719437514707657,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2811793107640028,0.5719437514707657
SLTM,-0.2969698086834995,False,False,False,0.3648248986534383,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2969698086834995,0.3648248986534383
NVL,0.1004026076307411,False,False,False,0.0588961710908968,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1004026076307411,0.0588961710908968
NDUFA4,-0.345283962290619,False,False,False,0.1313729621512855,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.345283962290619,0.1313729621512855
ARHGAP21,-0.0231231390536095,False,False,False,0.220270709054283,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0231231390536095,0.220270709054283
TAF1D,-0.5201051602245386,False,False,False,0.7430951475512337,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.5201051602245386,0.7430951475512337
RIOX2,-0.5195695379360039,False,False,False,0.3663917724221122,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.5195695379360039,0.3663917724221122
MPHOSPH10,-0.0439113025337896,False,False,False,1.2757008729638848,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0439113025337896,1.2757008729638848
DEK,-0.4934018073070909,False,False,False,0.2577506681427195,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4934018073070909,0.2577506681427195
QSER1,-1.170634677701031,False,False,False,0.1068482064114206,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-1.170634677701031,0.1068482064114206
ATP6V1A,0.0376031132559262,False,False,False,0.8548825849283332,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.0376031132559262,0.8548825849283332
RPL37A,-0.2560899944755697,False,False,False,2.5338960370110257,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.2560899944755697,2.5338960370110257
HMGN4,0.0871191424355721,False,False,False,-4.754255116168338e-05,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0871191424355721,-4.754255116168338e-05
CDC6,0.5809972085049395,False,False,False,0.4963016667094635,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5809972085049395,0.4963016667094635
HMGN1,0.1361120250938299,False,False,False,-0.2871758795068437,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1361120250938299,-0.2871758795068437
L3MBTL3,1.641400516200374,False,False,False,1.1479397538150948,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.641400516200374,1.1479397538150948
E4F1,2.1552035561691234,False,False,False,0.9623812729498162,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,2.1552035561691234,0.9623812729498162
ZNF131,1.2143596786525173,False,False,False,0.9025005792932496,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.2143596786525173,0.9025005792932496
AFF4,0.8212027801508022,False,False,False,0.7989508237993483,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.8212027801508022,0.7989508237993483
KMT2B,0.3553072270982795,False,False,False,0.4384236960253531,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3553072270982795,0.4384236960253531
