Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,-1.272790812992369,False,True,False,0.2145600767734201,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,-1.272790812992369,0.2145600767734201
FIP1L1,-0.9274807318679628,False,False,False,-0.0371750497273311,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.9274807318679628,-0.0371750497273311
FLOT2,-1.218332350498894,False,False,False,-0.2079110690853802,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-1.218332350498894,-0.2079110690853802
IRX4,-0.4962573709944777,False,False,False,0.7403395929687839,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4962573709944777,0.7403395929687839
RRP8,0.1012140359363371,False,False,False,0.4637542799955376,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1012140359363371,0.4637542799955376
APTX,-0.1300121882369822,False,False,False,0.3930524413861889,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1300121882369822,0.3930524413861889
SLTM,0.1353604606672611,False,False,False,0.5327327998977687,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1353604606672611,0.5327327998977687
NVL,0.2936589254157624,False,False,False,0.973304105833428,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2936589254157624,0.973304105833428
NDUFA4,0.3036936246349633,False,False,False,0.7880995654538232,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3036936246349633,0.7880995654538232
ARHGAP21,0.4782607381858348,False,False,False,1.076518329176018,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4782607381858348,1.076518329176018
TAF1D,-0.4861639739269883,False,False,False,0.98947608955476,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4861639739269883,0.98947608955476
RIOX2,-0.5334430669010644,False,False,False,0.5741058203023748,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.5334430669010644,0.5741058203023748
MPHOSPH10,-1.291113684871064,False,False,False,-0.2490770605326027,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-1.291113684871064,-0.2490770605326027
DEK,-0.1661576393509882,False,False,False,0.2516582081258462,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1661576393509882,0.2516582081258462
QSER1,-0.3949698362016356,False,False,False,0.6480790052607226,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3949698362016356,0.6480790052607226
ATP6V1A,0.117816610545109,False,False,False,0.8864564651264537,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.117816610545109,0.8864564651264537
RPL37A,-0.3655091815416007,False,False,False,2.227867753663727,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.3655091815416007,2.227867753663727
HMGN4,0.0212343394240193,False,False,False,-1.0680481390299086,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.0212343394240193,-1.0680481390299086
CDC6,0.6694880881674621,False,False,False,-0.0546851941766135,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6694880881674621,-0.0546851941766135
HMGN1,-0.2412500892896751,False,False,False,-0.7961031547194359,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2412500892896751,-0.7961031547194359
L3MBTL3,1.124956956437046,False,False,False,0.6563394498468789,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.124956956437046,0.6563394498468789
E4F1,-0.202818749060782,False,False,False,0.1615850582415454,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.202818749060782,0.1615850582415454
ZNF131,0.4923334058406539,False,False,False,0.5449209142447167,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4923334058406539,0.5449209142447167
AFF4,1.0541080788666797,False,False,False,1.632082379537234,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.0541080788666797,1.632082379537234
KMT2B,-0.2167238217921401,False,False,False,0.2799393653142985,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2167238217921401,0.2799393653142985
MTF2,0.0082162922256401,False,False,False,-0.3187729457974733,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0082162922256401,-0.3187729457974733
