Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,4.029229995646741,False,True,False,inf,True,False,True,True,True,True,False,True,False,True,True,True,True,,False,#786D9B,#786D9B,4,0.8,#525252,0.35,4,^,False,4.0,4.0
FIP1L1,0.6622556321082023,False,False,False,-0.6535702396757976,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6622556321082023,-0.6535702396757976
FLOT2,0.047303744083166,False,False,False,-0.5800483530672125,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.047303744083166,-0.5800483530672125
IRX4,0.125595516170673,False,False,False,-0.1186780551665762,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.125595516170673,-0.1186780551665762
RRP8,-0.4356219935765644,False,False,False,-0.5776535164456575,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4356219935765644,-0.5776535164456575
APTX,-0.2084867509077277,False,False,False,-0.3081143798354731,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2084867509077277,-0.3081143798354731
SLTM,-0.3544575637708291,False,False,False,-0.5301699102619359,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3544575637708291,-0.5301699102619359
NVL,0.0612139245202705,False,False,False,-1.010281961689227,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0612139245202705,-1.010281961689227
NDUFA4,-0.1456504862904637,False,False,False,-0.4238642038988622,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1456504862904637,-0.4238642038988622
ARHGAP21,-0.0296970581256452,False,False,False,-0.829995645959503,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0296970581256452,-0.829995645959503
