Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,-inf,True,True,True,-4.656605007644867,False,True,False,True,True,True,False,False,False,True,True,True,True,,False,#786D9B,#786D9B,4,0.8,#525252,0.35,4,diag-down-left,False,-4.002197697304879,-4.111106100805639
FIP1L1,0.8636276631187734,False,False,False,-0.4521982086652265,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.8636276631187734,-0.4521982086652265
FLOT2,0.4172446914945986,False,False,False,-0.2101074056557799,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4172446914945986,-0.2101074056557799
IRX4,0.1929298728947905,False,False,False,-0.0513436984424586,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1929298728947905,-0.0513436984424586
RRP8,0.2877984899442047,False,False,False,0.1457669670751116,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2877984899442047,0.1457669670751116
APTX,0.2364616794547096,False,False,False,0.1368340505269643,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2364616794547096,0.1368340505269643
SLTM,-0.024671895901541,False,False,False,-0.2003842423926478,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.024671895901541,-0.2003842423926478
NVL,0.3219273201313939,False,False,False,-0.7495685660781035,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3219273201313939,-0.7495685660781035
NDUFA4,0.1918553440286494,False,False,False,-0.086358373579749,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1918553440286494,-0.086358373579749
ARHGAP21,0.5904420440038614,False,False,False,-0.2098565438299964,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5904420440038614,-0.2098565438299964
TAF1D,0.5726011609200903,False,False,False,0.3519804264649835,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5726011609200903,0.3519804264649835
RIOX2,0.3649920462671296,False,False,False,0.2094461805314864,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3649920462671296,0.2094461805314864
MPHOSPH10,1.265837620187714,False,False,False,-0.3766807909192877,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.265837620187714,-0.3766807909192877
DEK,0.9127370042173696,False,False,False,0.3761371809569169,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.9127370042173696,0.3761371809569169
QSER1,0.3576503707482814,False,False,False,0.3909221102280646,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3576503707482814,0.3909221102280646
ATP6V1A,-0.0011118647833967,False,False,False,0.0090960134773858,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0011118647833967,0.0090960134773858
RPL37A,1.05013225881261,False,False,False,2.0325447906336542,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,#BA5047,#BA5047,4,0.8,#525252,0.35,8,o,False,1.05013225881261,2.0325447906336542
HMGN4,0.3868573829328667,False,False,False,0.4891312256438951,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3868573829328667,0.4891312256438951
CDC6,-0.0732037312362656,False,False,False,0.2292886972721035,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0732037312362656,0.2292886972721035
HMGN1,-0.1458381414932184,False,False,False,0.262100730715062,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1458381414932184,0.262100730715062
L3MBTL3,-1.114147953256975,False,False,False,0.5947666668437712,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-1.114147953256975,0.5947666668437712
E4F1,-0.0711677588530967,False,False,False,0.2998964923985809,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0711677588530967,0.2998964923985809
ZNF131,-0.6712715446222965,False,False,False,0.4368802010960664,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.6712715446222965,0.4368802010960664
AFF4,0.1090316596517624,False,False,False,0.5814576412361703,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1090316596517624,0.5814576412361703
KMT2B,-3.615506382187334,False,True,False,-0.2716263769419669,False,False,False,True,True,True,False,True,True,True,False,False,False,True,True,#786D9B,#786D9B,5,0.8,#525252,0.35,4,o,False,-3.615506382187334,-0.2716263769419669
MTF2,-1.952406947595545,False,False,False,-1.0331661849213667,False,False,False,True,True,True,False,True,True,False,False,False,False,True,True,#786D9B,#786D9B,5,0.8,#525252,0.35,8,o,False,-1.952406947595545,-1.0331661849213667
