Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,inf,True,False,True,-4.656605007644867,False,True,False,True,True,True,False,False,False,True,True,True,True,,False,#786D9B,#786D9B,4,0.8,#525252,0.35,4,diag-down-right,False,4.09780230269512,-4.167335110358346
FIP1L1,-0.6535702396757976,False,False,False,-0.4521982086652265,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.6535702396757976,-0.4521982086652265
FLOT2,-0.5800483530672125,False,False,False,-0.2101074056557799,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.5800483530672125,-0.2101074056557799
IRX4,-0.1186780551665762,False,False,False,-0.0513436984424586,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1186780551665762,-0.0513436984424586
RRP8,-0.5776535164456575,False,False,False,0.1457669670751116,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.5776535164456575,0.1457669670751116
APTX,-0.3081143798354731,False,False,False,0.1368340505269643,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3081143798354731,0.1368340505269643
SLTM,-0.5301699102619359,False,False,False,-0.2003842423926478,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.5301699102619359,-0.2003842423926478
NVL,-1.010281961689227,False,False,False,-0.7495685660781035,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-1.010281961689227,-0.7495685660781035
NDUFA4,-0.4238642038988622,False,False,False,-0.086358373579749,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4238642038988622,-0.086358373579749
ARHGAP21,-0.829995645959503,False,False,False,-0.2098565438299964,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.829995645959503,-0.2098565438299964
TAF1D,-0.6834726935555047,False,False,False,0.3519804264649835,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.6834726935555047,0.3519804264649835
RIOX2,-0.430347509136233,False,False,False,0.2094461805314864,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.430347509136233,0.2094461805314864
MPHOSPH10,-1.731602439955367,False,False,False,-0.3766807909192877,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-1.731602439955367,-0.3766807909192877
DEK,-0.752291108820117,False,False,False,0.3761371809569169,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.752291108820117,0.3761371809569169
QSER1,-0.2629266281672926,False,False,False,0.3909221102280646,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2629266281672926,0.3909221102280646
ATP6V1A,0.2663596016086202,False,False,False,0.0090960134773858,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2663596016086202,0.0090960134773858
RPL37A,0.3340382683649388,False,False,False,2.0325447906336542,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.3340382683649388,2.0325447906336542
HMGN4,0.4238315222151527,False,False,False,0.4891312256438951,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4238315222151527,0.4891312256438951
CDC6,0.0584424854100547,False,False,False,0.2292886972721035,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0584424854100547,0.2292886972721035
HMGN1,0.6408159525502484,False,False,False,0.262100730715062,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6408159525502484,0.262100730715062
