Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,-0.1677617421271264,False,True,False,inf,True,False,True,False,False,False,False,True,False,True,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,^,False,-0.1677617421271264,4.0
FIP1L1,-0.1088885041638825,False,False,False,-0.8128279324658827,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1088885041638825,-0.8128279324658827
FLOT2,0.0224686221701624,False,False,False,-0.9195805582633908,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0224686221701624,-0.9195805582633908
IRX4,-0.3094745765528017,False,False,False,-0.5502139318418067,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3094745765528017,-0.5502139318418067
RRP8,0.1237873642488978,False,False,False,-0.2035585536099908,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1237873642488978,-0.2035585536099908
APTX,0.1215716817038696,False,False,False,-0.3289003256436267,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1215716817038696,-0.3289003256436267
SLTM,-0.0900351956643987,False,False,False,-0.1102471813041674,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0900351956643987,-0.1102471813041674
NVL,-0.6599376924372393,False,False,False,0.0038608574014631,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.6599376924372393,0.0038608574014631
NDUFA4,-0.153399502667419,False,False,False,-0.304004837444495,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.153399502667419,-0.304004837444495
ARHGAP21,-0.384560801007936,False,False,False,-0.3116029571470129,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.384560801007936,-0.3116029571470129
TAF1D,-0.6752917148063737,False,False,False,-0.3932584124778557,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.6752917148063737,-0.3932584124778557
RIOX2,-0.4963892202459128,False,False,False,-0.5931604299772815,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4963892202459128,-0.5931604299772815
MPHOSPH10,0.1884915223108478,False,False,False,-1.0365406594295197,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1884915223108478,-1.0365406594295197
DEK,0.1176453424133114,False,False,False,-0.453516751496025,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1176453424133114,-0.453516751496025
QSER1,-0.0617643249969823,False,False,False,-0.3286692097489947,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0617643249969823,-0.3286692097489947
ATP6V1A,0.3047913404389,False,False,False,0.4941299440622089,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3047913404389,0.4941299440622089
RPL37A,-0.4517651671748375,False,False,False,0.8474044003868535,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.4517651671748375,0.8474044003868535
HMGN4,1.3236734729713184,False,False,False,0.2479962318819808,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.3236734729713184,0.2479962318819808
CDC6,0.3954277974502851,False,False,False,0.0581346171949377,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3954277974502851,0.0581346171949377
HMGN1,0.364442241171055,False,False,False,0.4117245028785667,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.364442241171055,0.4117245028785667
L3MBTL3,0.3176931976652675,False,False,False,1.7265923765559954,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.3176931976652675,1.7265923765559954
E4F1,-0.141272962121981,False,False,False,-0.7299384916001301,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.141272962121981,-0.7299384916001301
ZNF131,-0.066681996839069,False,False,False,0.4699577157010388,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.066681996839069,0.4699577157010388
AFF4,-0.5205987824399188,False,False,False,-0.1659837115699893,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.5205987824399188,-0.1659837115699893
KMT2B,0.3035838934565227,False,False,False,3.707870883931676,False,True,False,True,True,True,False,True,True,True,False,False,False,True,True,#786D9B,#786D9B,5,0.8,#525252,0.35,4,o,False,0.3035838934565227,3.707870883931676
MTF2,0.5284227507618269,False,False,False,1.1932233468129851,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,0.5284227507618269,1.1932233468129851
ORC1,0.4576455267343924,False,False,False,0.5370644054979259,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4576455267343924,0.5370644054979259
RBMS2,1.535778192573538,False,False,False,0.2156970338480981,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.535778192573538,0.2156970338480981
SKP1,0.3983297613319365,False,False,False,0.0004953793952076,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3983297613319365,0.0004953793952076
BANF1,0.6507992695118823,False,False,False,-0.2199769268849642,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6507992695118823,-0.2199769268849642
GTF2H4,1.7217889706884186,False,False,False,0.5874971832354632,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.7217889706884186,0.5874971832354632
FANCM,1.3030595473801403,False,True,False,0.3678376492816362,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,o,True,1.3030595473801403,0.3678376492816362
HNRNPA1,0.683505392327433,False,False,False,0.0098939048855832,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.683505392327433,0.0098939048855832
SETD2,1.0859468525357734,False,False,False,0.2806134522784909,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.0859468525357734,0.2806134522784909
IMPDH2,0.8676829227590446,False,False,False,0.3803286337362657,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.8676829227590446,0.3803286337362657
HLTF,1.6179072470717273,False,False,False,1.4045705496022087,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.6179072470717273,1.4045705496022087
