Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,inf,True,False,True,0.2443709692179467,False,True,False,False,False,False,False,False,True,True,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,>,False,4.0,0.2443709692179467
FIP1L1,-0.8128279324658827,False,False,False,0.1596882348167732,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.8128279324658827,0.1596882348167732
FLOT2,-0.9195805582633908,False,False,False,-0.5248044889389547,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.9195805582633908,-0.5248044889389547
IRX4,-0.5502139318418067,False,False,False,-0.0478094823942143,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.5502139318418067,-0.0478094823942143
RRP8,-0.2035585536099908,False,False,False,-0.0395474279146839,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2035585536099908,-0.0395474279146839
APTX,-0.3289003256436267,False,False,False,-0.2140103278927867,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3289003256436267,-0.2140103278927867
SLTM,-0.1102471813041674,False,False,False,-0.0448838815413097,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1102471813041674,-0.0448838815413097
NVL,0.0038608574014631,False,False,False,0.9857258699700964,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0038608574014631,0.9857258699700964
NDUFA4,-0.304004837444495,False,False,False,0.0412500092515735,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.304004837444495,0.0412500092515735
ARHGAP21,-0.3116029571470129,False,False,False,0.6633998878647844,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3116029571470129,0.6633998878647844
TAF1D,-0.3932584124778557,False,False,False,0.8546344632486083,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3932584124778557,0.8546344632486083
RIOX2,-0.5931604299772815,False,False,False,0.268220836535761,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.5931604299772815,0.268220836535761
MPHOSPH10,-1.0365406594295197,False,False,False,0.0408054384473466,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-1.0365406594295197,0.0408054384473466
DEK,-0.453516751496025,False,False,False,0.341574910308033,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.453516751496025,0.341574910308033
QSER1,-0.3286692097489947,False,False,False,0.090745485996269,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3286692097489947,0.090745485996269
ATP6V1A,0.4941299440622089,False,False,False,0.1882267388399121,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4941299440622089,0.1882267388399121
RPL37A,0.8474044003868535,False,False,False,2.349301826374301,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,#BA5047,#BA5047,4,0.8,#525252,0.35,8,o,False,0.8474044003868535,2.349301826374301
HMGN4,0.2479962318819808,False,False,False,-0.6888198581564708,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.2479962318819808,-0.6888198581564708
CDC6,0.0581346171949377,False,False,False,-0.410496911491613,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0581346171949377,-0.410496911491613
HMGN1,0.4117245028785667,False,False,False,-0.0985558797857066,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4117245028785667,-0.0985558797857066
L3MBTL3,1.7265923765559954,False,False,False,0.2947512256337532,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.7265923765559954,0.2947512256337532
E4F1,-0.7299384916001301,False,False,False,-0.6598332883312459,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.7299384916001301,-0.6598332883312459
ZNF131,0.4699577157010388,False,False,False,-0.1346318320821886,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4699577157010388,-0.1346318320821886
AFF4,-0.1659837115699893,False,False,False,0.4636467305216918,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1659837115699893,0.4636467305216918
KMT2B,3.707870883931676,False,True,False,-0.2112193917121807,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,4,o,False,3.707870883931676,-0.2112193917121807
MTF2,1.1932233468129851,False,False,False,-1.2876063515443867,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,1.1932233468129851,-1.2876063515443867
