Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,-4.910258831686846,False,True,False,0.0516406105218294,False,True,False,False,True,False,False,False,True,True,False,False,True,,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,<,False,-4.1,0.0516406105218294
FIP1L1,-0.3639725369068429,False,False,False,-0.2046942493512062,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3639725369068429,-0.2046942493512062
FLOT2,-0.1725449347487178,False,False,False,-0.2440413463923967,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1725449347487178,-0.2440413463923967
IRX4,0.1421771294969964,False,False,False,0.115367261995118,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1421771294969964,0.115367261995118
RRP8,0.0053550702623326,False,False,False,0.217630276416056,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0053550702623326,0.217630276416056
APTX,-0.0819714385000836,False,False,False,-0.1908212772240851,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0819714385000836,-0.1908212772240851
SLTM,-0.1462235466494874,False,False,False,-2.3540736673766105e-05,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1462235466494874,-2.3540736673766105e-05
NVL,-0.2722403294115416,False,False,False,0.0833413115169925,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2722403294115416,0.0833413115169925
NDUFA4,-0.0108128354983421,False,False,False,-0.0773788563817206,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0108128354983421,-0.0773788563817206
ARHGAP21,0.0120645916216091,False,False,False,-0.4000950050018375,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0120645916216091,-0.4000950050018375
TAF1D,0.5375447752074187,False,False,False,0.1063896399390422,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5375447752074187,0.1063896399390422
RIOX2,-0.3049812370649718,False,False,False,0.0646984998543516,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3049812370649718,0.0646984998543516
MPHOSPH10,-0.001544246950349,False,False,False,-0.295734449068167,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.001544246950349,-0.295734449068167
DEK,0.1446126703025214,False,False,False,0.3119518341875995,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1446126703025214,0.3119518341875995
QSER1,0.5159902443819995,False,False,False,0.0549358994699211,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5159902443819995,0.0549358994699211
ATP6V1A,0.1969223614929731,False,False,False,-0.0712076515786996,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1969223614929731,-0.0712076515786996
RPL37A,0.0543761511099312,False,False,False,-0.0749188037218893,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0543761511099312,-0.0749188037218893
HMGN4,0.321530722842585,False,False,False,-1.1063333515962626,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.321530722842585,-1.1063333515962626
CDC6,-0.002338925048452,False,False,False,-0.4506013545124609,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.002338925048452,-0.4506013545124609
HMGN1,-0.4042207674543014,False,False,False,-0.8950951726586602,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4042207674543014,-0.8950951726586602
L3MBTL3,0.2839082587966679,False,False,False,0.4591879975015978,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2839082587966679,0.4591879975015978
E4F1,0.2015001338750544,False,False,False,-0.8593816605762257,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2015001338750544,-0.8593816605762257
ZNF131,0.2603291392026179,False,False,False,0.2252654002877818,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2603291392026179,0.2252654002877818
AFF4,-0.066758013369693,False,False,False,0.0347740760204402,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.066758013369693,0.0347740760204402
KMT2B,-0.6064052950512249,False,False,False,-0.0669443216157503,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.6064052950512249,-0.0669443216157503
MTF2,-0.3475618453091904,False,False,False,-1.0778123577683625,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3475618453091904,-1.0778123577683625
ORC1,0.6905887360886247,False,False,False,0.6446755177808221,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6905887360886247,0.6446755177808221
RBMS2,-0.0631482022091631,False,False,False,-0.0696631734339945,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0631482022091631,-0.0696631734339945
SKP1,0.6029717631949332,False,False,False,0.8919377400449875,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6029717631949332,0.8919377400449875
BANF1,-0.1220970956891029,False,False,False,-0.0695441545341495,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1220970956891029,-0.0695441545341495
GTF2H4,0.9205135586573512,False,False,False,-0.2983605806517104,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.9205135586573512,-0.2983605806517104
FANCM,0.4166871478815395,False,False,False,-0.0658141790083703,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4166871478815395,-0.0658141790083703
HNRNPA1,0.0501685277378776,False,False,False,0.1974154302147113,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0501685277378776,0.1974154302147113
SETD2,0.1812429310814138,False,False,False,0.1274985842227778,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1812429310814138,0.1274985842227778
IMPDH2,0.2023187748859207,False,False,False,0.164131323445094,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2023187748859207,0.164131323445094
HLTF,-0.1116666616028041,False,False,False,-0.5225574265374284,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.1116666616028041,-0.5225574265374284
MUS81,0.4554873802220633,False,False,False,-0.1164085426546854,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.4554873802220633,-0.1164085426546854
FOSL1,0.1838550511782344,False,False,False,0.0018189664063896,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.1838550511782344,0.0018189664063896
HMGB2,0.4126709898928773,False,False,False,-0.0230633202527705,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.4126709898928773,-0.0230633202527705
PARP1,-0.0495234782797489,False,False,False,-0.043992899992169,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.0495234782797489,-0.043992899992169
