Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,0.7649077044348083,False,True,False,0.0516406105218294,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,o,False,0.7649077044348083,0.0516406105218294
FIP1L1,-0.6118658487164481,False,False,False,-0.2046942493512062,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.6118658487164481,-0.2046942493512062
FLOT2,-0.0963315335566825,False,False,False,-0.2440413463923967,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0963315335566825,-0.2440413463923967
IRX4,-0.4618799602253531,False,False,False,0.115367261995118,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4618799602253531,0.115367261995118
RRP8,0.7716845639791856,False,False,False,0.217630276416056,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7716845639791856,0.217630276416056
APTX,0.2212085938875958,False,False,False,-0.1908212772240851,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2212085938875958,-0.1908212772240851
SLTM,0.410622374019244,False,False,False,-2.3540736673766105e-05,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.410622374019244,-2.3540736673766105e-05
NVL,-0.3655699760289757,False,False,False,0.0833413115169925,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3655699760289757,0.0833413115169925
NDUFA4,-0.0743150372603338,False,False,False,-0.0773788563817206,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0743150372603338,-0.0773788563817206
ARHGAP21,-0.7670233395057373,False,False,False,-0.4000950050018375,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.7670233395057373,-0.4000950050018375
TAF1D,-0.6435948909743523,False,False,False,0.1063896399390422,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.6435948909743523,0.1063896399390422
RIOX2,0.1480921600740004,False,False,False,0.0646984998543516,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1480921600740004,0.0646984998543516
MPHOSPH10,-0.0166146509586049,False,False,False,-0.295734449068167,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0166146509586049,-0.295734449068167
DEK,0.500675791858054,False,False,False,0.3119518341875995,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.500675791858054,0.3119518341875995
QSER1,-0.2266203022619848,False,False,False,0.0549358994699211,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2266203022619848,0.0549358994699211
ATP6V1A,-0.2194903959806105,False,False,False,-0.0712076515786996,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2194903959806105,-0.0712076515786996
RPL37A,0.0673141414494473,False,False,False,-0.0749188037218893,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0673141414494473,-0.0749188037218893
HMGN4,-0.4257482809716535,False,False,False,-1.1063333515962626,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4257482809716535,-1.1063333515962626
CDC6,0.1912153110845906,False,False,False,-0.4506013545124609,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1912153110845906,-0.4506013545124609
HMGN1,-0.3593092443752717,False,False,False,-0.8950951726586602,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3593092443752717,-0.8950951726586602
L3MBTL3,0.1504364829098179,False,False,False,0.4591879975015978,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1504364829098179,0.4591879975015978
E4F1,-2.6181078849729147,False,False,False,-0.8593816605762257,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,#bdbdbd,black,2,0.8,#CDCDCD,0.35,8,o,True,-2.6181078849729147,-0.8593816605762257
ZNF131,-0.3995103466781664,False,False,False,0.2252654002877818,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3995103466781664,0.2252654002877818
