Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,-4.196991737773868,False,True,False,0.3120000661393689,False,True,False,False,True,False,False,False,True,True,False,False,True,,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,<,False,-4.1,0.3120000661393689
FIP1L1,-0.7711441362720848,False,False,False,-0.1270548688544224,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.7711441362720848,-0.1270548688544224
FLOT2,-0.0248351219130036,False,False,False,0.0533580157065003,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0248351219130036,0.0533580157065003
IRX4,-0.4350700927234747,False,False,False,-0.2215733700899811,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4350700927234747,-0.2215733700899811
RRP8,0.5594093578254622,False,False,False,0.5123468044872972,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5594093578254622,0.5123468044872972
APTX,0.3300584326115974,False,False,False,0.1511671225270205,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3300584326115974,0.1511671225270205
SLTM,0.2644223681064304,False,False,False,0.4323302693507607,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2644223681064304,0.4323302693507607
NVL,-0.7211516169575098,False,False,False,0.1932563177850212,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.7211516169575098,0.1932563177850212
NDUFA4,-0.0077490163769553,False,False,False,0.6489775869255823,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0077490163769553,0.6489775869255823
ARHGAP21,-0.3548637428822907,False,False,False,0.5013838772394443,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3548637428822907,0.5013838772394443
TAF1D,-0.2124397557059758,False,False,False,0.0339411862975502,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2124397557059758,0.0339411862975502
RIOX2,-0.221587576845323,False,False,False,-0.0138735289650604,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.221587576845323,-0.0138735289650604
MPHOSPH10,0.277575551159213,False,False,False,-1.2472023823372744,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.277575551159213,-1.2472023823372744
DEK,0.3333366279729759,False,False,False,0.3272441679561026,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3333366279729759,0.3272441679561026
QSER1,0.2344340426500935,False,False,False,0.7756648414993954,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2344340426500935,0.7756648414993954
ATP6V1A,0.0486396170910623,False,False,False,0.0802134972891828,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0486396170910623,0.0802134972891828
RPL37A,0.1966090962812678,False,False,False,-0.109419187066031,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.1966090962812678,-0.109419187066031
HMGN4,1.002115793467194,False,False,False,-0.0658848030115528,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.002115793467194,-0.0658848030115528
CDC6,0.6394777405485996,False,False,False,0.0884908796625225,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6394777405485996,0.0884908796625225
