Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
EIF2S2,-4.656605007644867,False,True,False,0.2443709692179467,False,True,False,True,True,True,False,False,True,True,False,False,True,,False,#786D9B,#786D9B,4,0.8,#525252,0.35,4,<,False,-4.1,0.2443709692179467
FIP1L1,-0.4521982086652265,False,False,False,0.1596882348167732,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4521982086652265,0.1596882348167732
FLOT2,-0.2101074056557799,False,False,False,-0.5248044889389547,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2101074056557799,-0.5248044889389547
IRX4,-0.0513436984424586,False,False,False,-0.0478094823942143,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0513436984424586,-0.0478094823942143
RRP8,0.1457669670751116,False,False,False,-0.0395474279146839,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1457669670751116,-0.0395474279146839
APTX,0.1368340505269643,False,False,False,-0.2140103278927867,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1368340505269643,-0.2140103278927867
SLTM,-0.2003842423926478,False,False,False,-0.0448838815413097,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2003842423926478,-0.0448838815413097
NVL,-0.7495685660781035,False,False,False,0.9857258699700964,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.7495685660781035,0.9857258699700964
NDUFA4,-0.086358373579749,False,False,False,0.0412500092515735,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.086358373579749,0.0412500092515735
ARHGAP21,-0.2098565438299964,False,False,False,0.6633998878647844,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2098565438299964,0.6633998878647844
TAF1D,0.3519804264649835,False,False,False,0.8546344632486083,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3519804264649835,0.8546344632486083
RIOX2,0.2094461805314864,False,False,False,0.268220836535761,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2094461805314864,0.268220836535761
MPHOSPH10,-0.3766807909192877,False,False,False,0.0408054384473466,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3766807909192877,0.0408054384473466
DEK,0.3761371809569169,False,False,False,0.341574910308033,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3761371809569169,0.341574910308033
QSER1,0.3909221102280646,False,False,False,0.090745485996269,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3909221102280646,0.090745485996269
ATP6V1A,0.0090960134773858,False,False,False,0.1882267388399121,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0090960134773858,0.1882267388399121
RPL37A,2.0325447906336542,False,False,False,2.349301826374301,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,#BA5047,#BA5047,4,0.8,#525252,0.35,8,o,False,2.0325447906336542,2.349301826374301
HMGN4,0.4891312256438951,False,False,False,-0.6888198581564708,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4891312256438951,-0.6888198581564708
CDC6,0.2292886972721035,False,False,False,-0.410496911491613,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2292886972721035,-0.410496911491613
HMGN1,0.262100730715062,False,False,False,-0.0985558797857066,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.262100730715062,-0.0985558797857066
L3MBTL3,0.5947666668437712,False,False,False,0.2947512256337532,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5947666668437712,0.2947512256337532
E4F1,0.2998964923985809,False,False,False,-0.6598332883312459,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2998964923985809,-0.6598332883312459
ZNF131,0.4368802010960664,False,False,False,-0.1346318320821886,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4368802010960664,-0.1346318320821886
AFF4,0.5814576412361703,False,False,False,0.4636467305216918,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5814576412361703,0.4636467305216918
KMT2B,-0.2716263769419669,False,False,False,-0.2112193917121807,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2716263769419669,-0.2112193917121807
MTF2,-1.0331661849213667,False,False,False,-1.2876063515443867,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-1.0331661849213667,-1.2876063515443867
ORC1,0.4718948686240871,False,False,False,0.174652339778639,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4718948686240871,0.174652339778639
RBMS2,-0.0046405498072452,False,False,False,-0.0121740220265635,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0046405498072452,-0.0121740220265635
SKP1,0.2020001344742716,False,False,False,0.3022649146359271,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2020001344742716,0.3022649146359271
BANF1,-0.3536716892892215,False,False,False,-0.3686103335505315,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3536716892892215,-0.3686103335505315
GTF2H4,1.3535393541442424,False,False,False,0.2595872879746217,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.3535393541442424,0.2595872879746217
FANCM,0.3459146451360517,False,False,False,-0.2417042566382257,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3459146451360517,-0.2417042566382257
HNRNPA1,0.1444106740969992,False,False,False,-0.0560832086940941,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1444106740969992,-0.0560832086940941
SETD2,0.1600520639018974,False,False,False,-0.066259272306091,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1600520639018974,-0.066259272306091
IMPDH2,0.30737095733814,False,False,False,-0.1110577203869596,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.30737095733814,-0.1110577203869596
HLTF,0.5908267338913085,False,False,False,-0.0920005030899311,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.5908267338913085,-0.0920005030899311
MUS81,0.1844098342939162,False,False,False,-0.3134830111620168,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.1844098342939162,-0.3134830111620168
FOSL1,0.5765516919184641,False,False,False,-0.2009123498783971,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.5765516919184641,-0.2009123498783971
HMGB2,0.4781910100001099,False,False,False,-0.1060359935302059,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.4781910100001099,-0.1060359935302059
PARP1,0.0438601121711812,False,False,False,-0.1220484874898915,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.0438601121711812,-0.1220484874898915
LUC7L3,-0.0299329829944028,False,False,False,0.0491285172069311,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.0299329829944028,0.0491285172069311
TFAM,0.2967972908421927,False,False,False,-0.0251292329699417,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.2967972908421927,-0.0251292329699417
NTHL1,0.0702942008050193,False,False,False,-0.2493491510262764,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.0702942008050193,-0.2493491510262764
FBXL6,0.541028601702731,False,False,False,-0.143367614061777,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.541028601702731,-0.143367614061777
PDE8A,0.1047638194637166,False,False,False,0.1240374645190058,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1047638194637166,0.1240374645190058
ACACA,0.0263099662484194,False,False,False,0.0618575555684657,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0263099662484194,0.0618575555684657
DDB2,0.1436342468363172,False,False,False,-0.0293234084903346,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1436342468363172,-0.0293234084903346
NUSAP1,0.0961164621807171,False,False,False,-0.0539473814315307,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0961164621807171,-0.0539473814315307
MSH3,0.2062866855314951,False,False,False,-0.0161720728808028,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2062866855314951,-0.0161720728808028
HNRNPK,0.3213467060567971,False,False,False,0.4417834848740298,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3213467060567971,0.4417834848740298
BACH1,0.7196539083864799,False,False,False,0.0978959210800383,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.7196539083864799,0.0978959210800383
CTCF,0.7497042982363844,False,False,False,0.0805582930664847,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7497042982363844,0.0805582930664847
ZFX,0.1155164257218004,False,False,False,-0.0129294299438598,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1155164257218004,-0.0129294299438598
MAZ,0.3498972529494182,False,False,False,0.3664637612464894,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3498972529494182,0.3664637612464894
YBX1,0.3684957734525298,False,False,False,-0.0669575339084431,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.3684957734525298,-0.0669575339084431
SUB1,0.2265657288358085,False,False,False,0.2787533781441027,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.2265657288358085,0.2787533781441027
KLF13,0.7030327716068889,False,False,False,0.0491500466549865,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.7030327716068889,0.0491500466549865
TEAD1,1.0515519839834724,False,False,False,0.5376813921378911,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.0515519839834724,0.5376813921378911
MAFF,0.2692489450339899,False,False,False,0.1456660953015927,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2692489450339899,0.1456660953015927
HMGA1,0.2755857749481762,False,False,False,0.1232445829798116,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2755857749481762,0.1232445829798116
TOP2A,0.4716558880184109,False,False,False,0.3012284169224344,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.4716558880184109,0.3012284169224344
LIG3,0.195694418727875,False,False,False,0.0847554349675512,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.195694418727875,0.0847554349675512
LIN54,0.2105529643272525,False,False,False,0.0972946564979402,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2105529643272525,0.0972946564979402
NIPSNAP2,-0.1090897828080095,False,False,False,-0.2321229318308191,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1090897828080095,-0.2321229318308191
BRMS1,1.6746986337314702,False,False,False,1.9288337058065288,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,#bdbdbd,black,2,0.8,#CDCDCD,0.35,8,o,True,1.6746986337314702,1.9288337058065288
HOXC10,0.3070596731336827,False,False,False,-0.0815167012115019,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3070596731336827,-0.0815167012115019
MECP2,0.1348424866035245,False,False,False,-0.3768026359725098,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1348424866035245,-0.3768026359725098
ATF1,0.2061198981574108,False,False,False,-0.3355681661482173,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2061198981574108,-0.3355681661482173
