Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
TPX2,-0.2292496041506275,False,False,False,-0.4030534792676334,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2292496041506275,-0.4030534792676334
BCORL1,-0.234743946114694,False,False,False,-1.3450202207492303,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.234743946114694,-1.3450202207492303
SETD5,-0.2715611169856409,False,False,False,-0.9365458113442352,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.2715611169856409,-0.9365458113442352
PWWP2B,-0.4673985990979368,False,False,False,-1.3302028317882026,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,-0.4673985990979368,-1.3302028317882026
GAS2L3,-0.6322796669558279,False,False,False,-1.261894298191141,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,-0.6322796669558279,-1.261894298191141
MEAF6,-0.2420731075269131,False,False,False,-0.5410648883596458,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.2420731075269131,-0.5410648883596458
LRRFIP2,-0.3570709564526062,False,False,False,-0.551841176213518,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.3570709564526062,-0.551841176213518
TAF1,-0.4502929394640809,False,False,False,-0.8285983303991173,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.4502929394640809,-0.8285983303991173
TAF3,-0.5415244113160966,False,False,False,-0.6052327652713672,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.5415244113160966,-0.6052327652713672
PPP1R18,-0.3074698921868055,False,False,False,-0.6741065145110667,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.3074698921868055,-0.6741065145110667
INTS6,-0.3490615924896865,False,False,False,-0.0727967648867924,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3490615924896865,-0.0727967648867924
ALDH3B1,-0.706961066626139,False,False,False,0.0094122204503612,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.706961066626139,0.0094122204503612
ACTL6A,-2.154894120580068,False,False,False,-0.4924970955440457,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,-2.154894120580068,-0.4924970955440457
INO80C,-0.5815166114848509,False,False,False,0.1839042063152547,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.5815166114848509,0.1839042063152547
SMARCA2,-inf,True,False,True,-0.7419823994971608,False,False,False,True,False,False,False,False,True,False,True,True,True,,False,#BA5047,#BA5047,3,0.8,#525252,0.35,4,<,False,-7.175,-0.7419823994971608
KDM4A,-1.7311152269896226,False,False,False,-0.4113834847354489,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,-1.7311152269896226,-0.4113834847354489
ABCF2,-0.3223695530093771,False,False,False,-0.2248345693656759,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.3223695530093771,-0.2248345693656759
TICRR,-0.4107468372449219,False,False,False,-0.0153855960171931,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.4107468372449219,-0.0153855960171931
ING5,-0.0854341480304015,False,False,False,-0.4447780014467817,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.0854341480304015,-0.4447780014467817
