Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
TPX2,1.0713732186918534,False,False,False,0.8975693435748475,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.0713732186918534,0.8975693435748475
BCORL1,1.6219051046885085,False,False,False,0.5116288300539722,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.6219051046885085,0.5116288300539722
SETD5,1.5586575197499677,False,False,False,0.8936728253913735,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.5586575197499677,0.8936728253913735
PWWP2B,2.262654884641666,False,False,False,1.3998506519514002,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,2.262654884641666,1.3998506519514002
GAS2L3,2.429937310824432,False,False,False,1.8003226795891187,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,2.429937310824432,1.8003226795891187
MEAF6,1.1917984850097625,False,False,False,0.8928067041770298,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.1917984850097625,0.8928067041770298
LRRFIP2,1.301537041180474,False,False,False,1.106766821419562,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.301537041180474,1.106766821419562
TAF1,1.7158129965827342,False,False,False,1.3375076056476978,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.7158129965827342,1.3375076056476978
TAF3,1.204779002934167,False,False,False,1.1410706489788964,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.204779002934167,1.1410706489788964
PPP1R18,1.3968198710334825,False,False,False,1.0301832487092213,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.3968198710334825,1.0301832487092213
INTS6,0.5304264886403729,False,False,False,0.806691316243267,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.5304264886403729,0.806691316243267
ALDH3B1,1.246950627041958,False,False,False,1.9633239141184584,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.246950627041958,1.9633239141184584
ACTL6A,3.331086506005672,False,False,False,4.993483531041694,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,3.331086506005672,4.993483531041694
NUP54,-inf,True,False,True,-inf,True,False,True,False,True,False,False,False,False,False,True,True,True,,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,diag-down-left,False,-7.0049448189359795,-7.340758829448949
INO80C,1.868534940307427,False,False,False,2.633955758107533,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.868534940307427,2.633955758107533
SMARCA2,4.790066994736407,False,False,False,inf,True,False,True,True,False,False,False,True,False,False,True,True,True,,False,#BA5047,#BA5047,3,0.8,#525252,0.35,4,^,False,4.790066994736407,11.0
KDM4A,4.243703501780384,False,False,False,5.563435244034558,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,4.243703501780384,5.563435244034558
ABCF2,0.9535501837470406,False,False,False,1.0510851673907418,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.9535501837470406,1.0510851673907418
TICRR,1.3794717436806252,False,False,False,1.774832984908354,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.3794717436806252,1.774832984908354
ING5,1.365147622399352,False,False,False,1.0058037689829715,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.365147622399352,1.0058037689829715
CCDC137,1.2213553782938114,False,False,False,1.335911199614955,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.2213553782938114,1.335911199614955
RPL37A,2.1811828982167327,False,False,False,1.3722298707912195,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,2.1811828982167327,1.3722298707912195
DNTTIP2,1.0167499732130914,False,False,False,0.3586883177960622,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.0167499732130914,0.3586883177960622
AKAP8L,1.6181994546579084,False,False,False,0.5448210060693555,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,1.6181994546579084,0.5448210060693555
SMARCC1,1.1192167661997878,False,False,False,0.595664812187124,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.1192167661997878,0.595664812187124
ZNF768,1.1639443614766023,False,False,False,0.7898427709459739,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.1639443614766023,0.7898427709459739
BRCA1,1.4362149583554604,False,False,False,0.5397787825341283,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.4362149583554604,0.5397787825341283
ANKRD11,1.121674250429919,False,False,False,0.0773519033303529,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.121674250429919,0.0773519033303529
ACTR6,2.198823620225604,False,False,False,1.8735151498006568,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,4,o,False,2.198823620225604,1.8735151498006568
TMPO,1.3920816164107706,False,False,False,0.3377082044320971,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.3920816164107706,0.3377082044320971
ORC3,0.1240776240983017,False,False,False,0.5609749862170013,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1240776240983017,0.5609749862170013
AFF1,1.383932264588175,False,False,False,1.650904201895102,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.383932264588175,1.650904201895102
ORC4,1.5245187774464988,False,False,False,2.260139887261815,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,1.5245187774464988,2.260139887261815
ZFP91,1.0933554932199383,False,False,False,1.3555294566115847,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.0933554932199383,1.3555294566115847
SUPT20H,1.3300541406950188,False,False,False,2.0489128139941784,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.3300541406950188,2.0489128139941784
ORC1,2.501894337391093,False,False,False,3.733173466840413,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,2.501894337391093,3.733173466840413
KDM5A,2.033485997523428,False,False,False,3.105908665142458,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,2.033485997523428,3.105908665142458
FOXK1,1.4754264074321028,False,False,False,2.029692298732215,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.4754264074321028,2.029692298732215
GATAD1,2.250735355809649,False,False,False,2.359177148256393,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,2.250735355809649,2.359177148256393
LRWD1,2.390770504618004,False,False,False,3.1581010768280606,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,2.390770504618004,3.1581010768280606
NSD2,2.028988474065141,False,False,False,2.5574264656806776,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,2.028988474065141,2.5574264656806776
KAT2A,2.2288563207941223,False,True,False,inf,True,False,True,True,False,False,False,True,False,True,True,True,True,,False,#BA5047,#BA5047,3,0.8,#525252,0.35,4,^,False,2.2288563207941223,11.0
YEATS4,3.642630814958832,False,False,False,inf,True,False,True,True,False,False,False,True,False,False,True,True,True,,False,#BA5047,#BA5047,3,0.8,#525252,0.35,4,^,False,3.642630814958832,11.0
