Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
TPX2,1.0713732186918534,False,False,False,0.0557063548413303,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.0713732186918534,0.0557063548413303
BCORL1,1.6219051046885085,False,False,False,0.4193610388524433,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,1.6219051046885085,0.4193610388524433
SETD5,1.5586575197499677,False,False,False,1.2832495336847387,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,1.5586575197499677,1.2832495336847387
PWWP2B,2.262654884641666,False,False,False,1.105128420393605,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,2.262654884641666,1.105128420393605
GAS2L3,2.429937310824432,False,False,False,2.4212907586303203,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,2.429937310824432,2.4212907586303203
MEAF6,1.1917984850097625,False,False,False,1.339731034387178,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.1917984850097625,1.339731034387178
LRRFIP2,1.301537041180474,False,False,False,0.9327496648731356,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.301537041180474,0.9327496648731356
TAF1,1.7158129965827342,False,False,False,1.3228713761914648,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,1.7158129965827342,1.3228713761914648
TAF3,1.204779002934167,False,False,False,0.964704866367466,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.204779002934167,0.964704866367466
PPP1R18,1.3968198710334825,False,False,False,1.2411824196531462,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.3968198710334825,1.2411824196531462
INTS6,0.5304264886403729,False,False,False,1.0560369825553906,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.5304264886403729,1.0560369825553906
ALDH3B1,1.246950627041958,False,False,False,1.966877201104591,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,1.246950627041958,1.966877201104591
ACTL6A,3.331086506005672,False,False,False,5.256952379818092,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,3.331086506005672,5.256952379818092
NUP54,-inf,True,False,True,-inf,True,True,True,False,False,False,False,False,False,True,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,diag-down-left,False,-7.0049448189359795,-7.399392596891802
