Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
TPX2,0.1356747748785416,False,False,False,-0.7061882138549755,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1356747748785416,-0.7061882138549755
BCORL1,-0.2734290036079656,False,False,False,-0.3656967948094944,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2734290036079656,-0.3656967948094944
SETD5,-0.575681956774666,False,False,False,-0.1861052484813008,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.575681956774666,-0.1861052484813008
PWWP2B,0.2487875523372409,False,False,False,-0.0459346792205543,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.2487875523372409,-0.0459346792205543
GAS2L3,-0.6648184346609654,False,False,False,-0.0438503556197638,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.6648184346609654,-0.0438503556197638
MEAF6,-0.5106659834814735,False,False,False,-0.0637416532713253,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.5106659834814735,-0.0637416532713253
LRRFIP2,-0.075751708795412,False,False,False,-0.2497688653418386,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.075751708795412,-0.2497688653418386
TAF1,-0.1823362727519004,False,False,False,-0.1969725022081334,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.1823362727519004,-0.1969725022081334
TAF3,0.0784199541659056,False,False,False,-0.0979458284455248,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.0784199541659056,-0.0979458284455248
PPP1R18,-0.1812942021952466,False,False,False,0.0297049687486783,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.1812942021952466,0.0297049687486783
INTS6,-0.2146410461247043,False,False,False,0.0347046201874192,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.2146410461247043,0.0347046201874192
ALDH3B1,-0.2281119233705872,False,False,False,-0.2245586363844545,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.2281119233705872,-0.2245586363844545
ACTL6A,-0.4596777611292033,False,False,False,-0.1962089123528052,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.4596777611292033,-0.1962089123528052
INO80C,-0.7459914376444878,False,False,False,-0.3736338067455165,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.7459914376444878,-0.3736338067455165
SMARCA2,inf,True,False,True,-0.1594694651175743,False,False,False,True,False,False,False,False,True,False,True,True,True,,False,#BA5047,#BA5047,3,0.8,#525252,0.35,4,>,False,7.0,-0.1594694651175743
KDM4A,0.1974332630036137,False,True,False,-0.2885401854355862,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,4,o,False,0.1974332630036137,-0.2885401854355862
ABCF2,-0.1880246925310338,False,False,False,-0.0452930920075473,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.1880246925310338,-0.0452930920075473
TICRR,-0.7007570801097103,False,False,False,-0.1924391109496994,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.7007570801097103,-0.1924391109496994
ING5,-0.5190869581258966,False,False,False,0.0088185891378387,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.5190869581258966,0.0088185891378387
CCDC137,0.2813501736047961,False,False,False,-0.0475582431193579,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.2813501736047961,-0.0475582431193579
RPL37A,0.1180875859710965,False,False,False,0.6264452454821345,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1180875859710965,0.6264452454821345
DNTTIP2,-0.0347509518372604,False,False,False,-0.0474638271975926,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0347509518372604,-0.0474638271975926
AKAP8L,-0.3281080624300756,False,False,False,0.303998447866789,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.3281080624300756,0.303998447866789
SMARCC1,-0.1566202751093186,False,False,False,0.0060830472012334,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1566202751093186,0.0060830472012334
ZNF768,-0.2853439194908489,False,False,False,-0.129670494599825,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2853439194908489,-0.129670494599825
BRCA1,-0.2863997808563496,False,False,False,-0.0478915449483814,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2863997808563496,-0.0478915449483814
ANKRD11,-0.0835523412124139,False,False,False,-0.3757667112090885,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0835523412124139,-0.3757667112090885
ACTR6,-inf,True,True,True,-1.6620558668588643,False,False,False,False,False,False,False,False,True,True,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,<,False,-7.175,-1.6620558668588643
TMPO,-0.1980137366580834,False,False,False,-0.8887222720961532,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1980137366580834,-0.8887222720961532
ORC3,-0.0035692010407863,False,False,False,0.7357836682416696,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0035692010407863,0.7357836682416696
AFF1,-1.3693722739941308,False,False,False,0.0576859078818259,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-1.3693722739941308,0.0576859078818259
ORC4,-1.5073187114454285,False,False,False,0.0020406582340868,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-1.5073187114454285,0.0020406582340868
ZFP91,0.4418997913003508,False,False,False,1.0404963141207446,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,#786D9B,#786D9B,4,0.8,#525252,0.35,8,o,False,0.4418997913003508,1.0404963141207446
SUPT20H,0.658171374627063,False,False,False,0.2831270429344847,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.658171374627063,0.2831270429344847
