Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
TPX2,-0.7061882138549755,False,False,False,0.0557063548413303,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.7061882138549755,0.0557063548413303
BCORL1,-0.3656967948094944,False,False,False,0.4193610388524433,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3656967948094944,0.4193610388524433
SETD5,-0.1861052484813008,False,False,False,1.2832495336847387,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.1861052484813008,1.2832495336847387
PWWP2B,-0.0459346792205543,False,False,False,1.105128420393605,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.0459346792205543,1.105128420393605
GAS2L3,-0.0438503556197638,False,False,False,2.4212907586303203,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.0438503556197638,2.4212907586303203
MEAF6,-0.0637416532713253,False,False,False,1.339731034387178,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.0637416532713253,1.339731034387178
LRRFIP2,-0.2497688653418386,False,False,False,0.9327496648731356,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.2497688653418386,0.9327496648731356
TAF1,-0.1969725022081334,False,False,False,1.3228713761914648,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.1969725022081334,1.3228713761914648
TAF3,-0.0979458284455248,False,False,False,0.964704866367466,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.0979458284455248,0.964704866367466
PPP1R18,0.0297049687486783,False,False,False,1.2411824196531462,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.0297049687486783,1.2411824196531462
INTS6,0.0347046201874192,False,False,False,1.0560369825553906,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.0347046201874192,1.0560369825553906
ALDH3B1,-0.2245586363844545,False,False,False,1.966877201104591,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.2245586363844545,1.966877201104591
ACTL6A,-0.1962089123528052,False,False,False,5.256952379818092,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.1962089123528052,5.256952379818092
INO80C,-0.3736338067455165,False,False,False,3.006313389006504,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.3736338067455165,3.006313389006504
SMARCA2,-0.1594694651175743,False,False,False,7.272962288001562,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.1594694651175743,7.272962288001562
KDM4A,-0.2885401854355862,False,False,False,5.077461795595358,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,4,o,False,-0.2885401854355862,5.077461795595358
ABCF2,-0.0452930920075473,False,False,False,1.1938167679142282,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.0452930920075473,1.1938167679142282
TICRR,-0.1924391109496994,False,False,False,2.2831509540683648,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.1924391109496994,2.2831509540683648
ING5,0.0088185891378387,False,False,False,1.533709316246707,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.0088185891378387,1.533709316246707
CCDC137,-0.0475582431193579,False,False,False,1.007002782890801,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.0475582431193579,1.007002782890801
RPL37A,0.6264452454821345,False,False,False,1.8805875303022568,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6264452454821345,1.8805875303022568
DNTTIP2,-0.0474638271975926,False,False,False,0.34597544243573,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0474638271975926,0.34597544243573
AKAP8L,0.303998447866789,False,False,False,1.17692751636622,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.303998447866789,1.17692751636622
SMARCC1,0.0060830472012334,False,False,False,0.758368134497676,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0060830472012334,0.758368134497676
ZNF768,-0.129670494599825,False,False,False,0.9455161958369978,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.129670494599825,0.9455161958369978
BRCA1,-0.0478915449483814,False,False,False,0.7782870184420965,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0478915449483814,0.7782870184420965
ANKRD11,-0.3757667112090885,False,False,False,-0.2148624666663217,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3757667112090885,-0.2148624666663217
ACTR6,-1.6620558668588643,False,False,False,inf,True,False,True,False,False,False,False,True,False,False,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,^,False,-1.6620558668588643,11.0
TMPO,-0.8887222720961532,False,False,False,-0.3530003310059726,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.8887222720961532,-0.3530003310059726
ORC3,0.7357836682416696,False,False,False,1.3003278554994573,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7357836682416696,1.3003278554994573
AFF1,0.0576859078818259,False,False,False,3.077962383771059,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.0576859078818259,3.077962383771059
ORC4,0.0020406582340868,False,False,False,3.76949925694133,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.0020406582340868,3.76949925694133
