Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
RNF2,0.3022105383205193,False,False,False,1.2506314324710388,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3022105383205193,1.2506314324710388
CREM,-0.7228390254539221,False,False,False,-0.0096100376243164,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.7228390254539221,-0.0096100376243164
JUN,-1.4988162340353313,False,False,False,-0.3461001978541205,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-1.4988162340353313,-0.3461001978541205
CREB5,-0.9039556665641512,False,False,False,0.2080650016584506,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.9039556665641512,0.2080650016584506
TFAM,-0.5969265788688141,False,False,False,-0.2893387332644721,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.5969265788688141,-0.2893387332644721
CEBPD,-0.2098995607693083,False,False,False,-0.2225521595638717,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2098995607693083,-0.2225521595638717
ATF2,-inf,True,False,True,-inf,True,True,True,False,True,False,False,False,False,True,True,True,True,,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,diag-down-left,False,-4.0027471216311,-4.093152079323893
ATF7,-1.2215245181280956,False,False,False,-0.0036860543698331,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-1.2215245181280956,-0.0036860543698331
FOS,-2.4247399199114383,False,False,False,0.1506589596385552,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,#4B82B6,#4B82B6,4,0.8,#525252,0.35,8,o,False,-2.4247399199114383,0.1506589596385552
MTDH,-2.1459504615500293,False,False,False,0.1985552881805929,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,#4B82B6,#4B82B6,4,0.8,#525252,0.35,8,o,False,-2.1459504615500293,0.1985552881805929
JUND,-3.745089834858099,False,False,False,-0.6244010192807785,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,#4B82B6,#4B82B6,4,0.8,#525252,0.35,8,o,False,-3.745089834858099,-0.6244010192807785
JUNB,-2.9612163375675387,False,False,False,0.1365636419629154,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,#4B82B6,#4B82B6,4,0.8,#525252,0.35,8,o,False,-2.9612163375675387,0.1365636419629154
FOSL2,-3.042933834771837,False,False,False,0.0565606327315819,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,#4B82B6,#4B82B6,4,0.8,#525252,0.35,8,o,False,-3.042933834771837,0.0565606327315819
ATF3,-3.7526266955240217,False,False,False,-1.5657545166523512,False,False,False,False,True,False,False,True,True,False,False,False,False,True,True,#4B82B6,#4B82B6,4,0.8,#525252,0.35,8,o,False,-3.7526266955240217,-1.5657545166523512
MAT2A,-0.3524017000702244,False,False,False,0.4085087666698186,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3524017000702244,0.4085087666698186
UBP1,-0.3755248337871144,False,False,False,-0.526070506856037,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3755248337871144,-0.526070506856037
KAT8,0.3337187583862189,False,False,False,1.058123243761692,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3337187583862189,1.058123243761692
BARX1,-1.148240997604507,False,False,False,-0.0215575912132948,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-1.148240997604507,-0.0215575912132948
MPHOSPH8,-1.2291456916309151,False,False,False,0.2051029682243061,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-1.2291456916309151,0.2051029682243061
PPHLN1,-0.0625615988563126,False,False,False,0.2380644680073658,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0625615988563126,0.2380644680073658
POGZ,-0.061301058505844,False,False,False,0.21819106418193,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.061301058505844,0.21819106418193
ZMYM4,0.0143023893362865,False,False,False,inf,True,False,True,False,False,False,False,True,False,False,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,^,False,0.0143023893362865,6.0
JADE1,0.7921831138120012,False,False,False,-0.9249699234811288,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7921831138120012,-0.9249699234811288
KAT7,0.3045723345573385,False,False,False,-0.6012197713127563,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3045723345573385,-0.6012197713127563
MITF,-0.7895754054982227,False,False,False,-1.299476980820888,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.7895754054982227,-1.299476980820888
MMS22L,-1.3413089378966525,False,False,False,-2.7141825608503467,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,#BA5047,#BA5047,4,0.8,#525252,0.35,8,o,False,-1.3413089378966525,-2.7141825608503467
TBL1X,0.1967399617382277,False,False,False,-0.8332723661277477,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1967399617382277,-0.8332723661277477
WDR5,0.1119992579024966,False,False,False,-0.4325728779498448,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1119992579024966,-0.4325728779498448
HIF1A,0.1450022211779611,False,False,False,-1.6870429004919745,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,0.1450022211779611,-1.6870429004919745
BANP,-0.1393168776369506,False,False,False,-0.6702134422751023,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1393168776369506,-0.6702134422751023
BHLHE40,-0.259336410978225,False,False,False,-0.6807621275905191,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.259336410978225,-0.6807621275905191
TIGD2,-0.1281967855863079,False,False,False,-0.3310311207740994,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1281967855863079,-0.3310311207740994
EPAS1,-0.3644931176178438,False,False,False,-0.4476234849306024,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3644931176178438,-0.4476234849306024
APOBEC3C,-0.3128979715346993,False,False,False,-1.212928659655038,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.3128979715346993,-1.212928659655038
RMI1,-0.0200492270597081,False,False,False,-0.405369465294946,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0200492270597081,-0.405369465294946
CPS1,-0.052123593198182,False,False,False,-0.382159278543579,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.052123593198182,-0.382159278543579
FNDC3A,0.0222846353762022,False,False,False,0.1870836381297849,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0222846353762022,0.1870836381297849
CCNL1,-0.1080799025368612,False,False,False,-0.3345713044622158,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1080799025368612,-0.3345713044622158
SUB1,-0.4342169738037889,False,False,False,-1.5131477816100016,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.4342169738037889,-1.5131477816100016
PURB,-0.0253664146383947,False,False,False,-0.783401558786359,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0253664146383947,-0.783401558786359
RMI2,-0.2790241063153864,False,False,False,-1.215354748968064,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.2790241063153864,-1.215354748968064
SSBP1,0.0041298861904408,False,False,False,-0.8690636292316469,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0041298861904408,-0.8690636292316469
TOP3A,-0.401446621262064,False,False,False,-1.293670206696433,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.401446621262064,-1.293670206696433
BLM,-0.27815808419885,False,False,False,-0.7116628596122183,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.27815808419885,-0.7116628596122183
RPA1,-0.321085794735648,False,False,False,-1.2837179342499496,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,8,o,False,-0.321085794735648,-1.2837179342499496
DNAJA2,-0.1854481584200549,False,False,False,-0.9441920205525988,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1854481584200549,-0.9441920205525988
RPA2,-0.0605144291026249,False,False,False,-0.8409166668055228,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0605144291026249,-0.8409166668055228
RPA3,-0.1526527090249132,False,False,False,-0.925802143923331,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1526527090249132,-0.925802143923331
FANCM,-0.7233945734588758,False,False,False,-1.2400006557146988,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.7233945734588758,-1.2400006557146988
RPP40,-0.3054538192103564,False,False,False,-1.1570278032887735,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3054538192103564,-1.1570278032887735
CHMP2A,0.6887534735524987,False,False,False,0.3960423836376634,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6887534735524987,0.3960423836376634
CDK16,-inf,True,False,True,-inf,True,True,True,False,False,False,False,False,False,True,True,True,True,,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,4,diag-down-left,False,-4.112613818288819,-4.035954487851094
SIPA1L3,-0.1946723967377543,False,False,False,0.3456298333661216,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1946723967377543,0.3456298333661216
CSN1S1,0.0438178215885862,False,False,False,-0.2569841406081963,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0438178215885862,-0.2569841406081963
KRT2,0.1844448322508824,False,False,False,-0.2384180260027903,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1844448322508824,-0.2384180260027903
