Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
RNF2,0.0401302840459756,False,False,False,-0.0488208976531758,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0401302840459756,-0.0488208976531758
CREM,0.2246642625113892,False,False,False,-0.3595874358930189,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.2246642625113892,-0.3595874358930189
JUN,0.0584663606713284,False,False,False,0.259528938143017,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.0584663606713284,0.259528938143017
CREB5,0.0469347859109667,False,False,False,0.0871751200450212,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.0469347859109667,0.0871751200450212
TFAM,0.0152218891421824,False,False,False,-0.0868286179062565,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.0152218891421824,-0.0868286179062565
CEBPD,0.0211146868775458,False,False,False,-0.241098585209027,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.0211146868775458,-0.241098585209027
ATF7,-0.3489343556799866,False,False,False,0.0736759165439338,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.3489343556799866,0.0736759165439338
FOS,0.1780317760020686,False,False,False,-0.3723065522474975,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,4,o,False,0.1780317760020686,-0.3723065522474975
MTDH,0.0065861864160901,False,False,False,-0.182286258634825,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,0.0065861864160901,-0.182286258634825
JUND,-0.0556894140883272,False,False,False,-0.293710889859522,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,#4B82B6,#4B82B6,3,0.8,#525252,0.35,8,o,False,-0.0556894140883272,-0.293710889859522
