Label,x_value,x_is_imputed,x_is_one_datapoint,x_is_infinite,y_value,y_is_imputed,y_is_one_datapoint,y_is_infinite,modif_significant,linker_significant,modif_and_linker_significant,used_for_normalisation,x_is_in_bounds,y_is_in_bounds,any_one_datapoint,any_imputed,any_infinite,any_oob,is_outlier,to_label,colour,textcolour,z_order,alpha,edgecolour,linewidth,markersize,marker,rasterized,x_coord,y_coord
RNF2,-1.0989913303562275,False,False,False,-0.9375350814418688,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-1.0989913303562275,-0.9375350814418688
CREM,0.004685222942605,False,False,False,-0.4623548710157372,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.004685222942605,-0.4623548710157372
JUN,0.1262664107198539,False,False,False,0.0287433214568686,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1262664107198539,0.0287433214568686
CREB5,0.1337926046867252,False,False,False,-0.0963394424526065,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1337926046867252,-0.0963394424526065
TFAM,-0.1798982561139652,False,False,False,-0.3341184034847906,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.1798982561139652,-0.3341184034847906
CEBPD,0.1325293951591106,False,False,False,-0.0517987867537854,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1325293951591106,-0.0517987867537854
ATF2,0.6345203907669266,False,False,False,0.4619968025694021,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.6345203907669266,0.4619968025694021
ATF7,0.3461861336539265,False,False,False,0.3224647085053007,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3461861336539265,0.3224647085053007
FOS,0.2114444717070398,False,False,False,-0.1024388510641927,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2114444717070398,-0.1024388510641927
MTDH,0.3565231534309916,False,False,False,0.1463012975018607,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3565231534309916,0.1463012975018607
JUND,0.1804142262251993,False,False,False,-0.0322346383971634,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1804142262251993,-0.0322346383971634
JUNB,0.3946411256134823,False,False,False,0.1964427088771003,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3946411256134823,0.1964427088771003
FOSL2,0.3848959303207167,False,False,False,0.1707181660866652,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.3848959303207167,0.1707181660866652
FOSL1,0.398461546048658,False,False,False,0.4462335610772747,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.398461546048658,0.4462335610772747
ATF3,0.701417058823278,False,False,False,-0.0570676636437674,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.701417058823278,-0.0570676636437674
MAT2A,-0.0185113558437883,False,False,False,-0.5270981185719563,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0185113558437883,-0.5270981185719563
UBP1,0.1232091320166723,False,False,False,-0.2221257669353349,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1232091320166723,-0.2221257669353349
KAT8,-0.8348320814393766,False,False,False,-0.0276753284044879,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.8348320814393766,-0.0276753284044879
BARX1,0.7173193551125188,False,False,False,0.1909788289534226,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7173193551125188,0.1909788289534226
MPHOSPH8,0.1243393988330971,False,False,False,-0.2778794645378859,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1243393988330971,-0.2778794645378859
PPHLN1,0.0313593533371978,False,False,False,-0.2804708925828514,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0313593533371978,-0.2804708925828514
POGZ,-0.0557434542137791,False,False,False,-0.2772753542938631,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.0557434542137791,-0.2772753542938631
ZMYM4,-1.421249538827528,False,True,False,0.0608011500384897,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,#BA5047,#BA5047,3,0.8,#525252,0.35,4,o,False,-1.421249538827528,0.0608011500384897
JADE1,0.7281733998250459,False,False,False,-0.5740484386026665,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.7281733998250459,-0.5740484386026665
KAT7,0.2280670781999667,False,False,False,0.0259109610458523,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.2280670781999667,0.0259109610458523
MITF,0.1574149066852364,False,False,False,-0.0342251948538034,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.1574149066852364,-0.0342251948538034
MMS22L,-0.2063353320977796,False,False,False,-0.1883624431928048,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.2063353320977796,-0.1883624431928048
TBL1X,-0.4937988446431944,False,False,False,-0.7403155885295547,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.4937988446431944,-0.7403155885295547
WDR5,0.0146686027436828,False,False,False,-0.3074591053440478,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,0.0146686027436828,-0.3074591053440478
HIF1A,-0.3065625364762212,False,False,False,-0.5558399603273294,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,#bdbdbd,black,1,0.8,#CDCDCD,0.35,8,o,True,-0.3065625364762212,-0.5558399603273294
