	protein.label	cluster	prototype
HIST1H2A[B,E]/HIST3H2A	HIST1H2A[B,E]/HIST3H2A	27	CTDSPL2
CTDSPL2	CTDSPL2	27	CTDSPL2
MBD4	MBD4	27	CTDSPL2
FBXL6	FBXL6	27	CTDSPL2
SP110	SP110	37	SP110
G2E3	G2E3	32	G2E3
SUB1	SUB1	36	TOP2A
SMC1A	SMC1A	36	TOP2A
TOP2A	TOP2A	36	TOP2A
TOP2B (2)	TOP2B (2)	36	TOP2A
TOP2B (1)	TOP2B (1)	36	TOP2A
CHD2	CHD2	26	CHD2
MTA2	MTA2	24	CHD4
MBD2	MBD2	24	CHD4
CDK2AP1	CDK2AP1	24	CHD4
GATAD2A	GATAD2A	24	CHD4
CHD4	CHD4	24	CHD4
GATAD2B	GATAD2B	24	CHD4
CHD3	CHD3	24	CHD4
RBBP4	RBBP4	24	CHD4
ZMYM3	ZMYM3	24	CHD4
ZNF644	ZNF644	31	EHMT1
EHMT2	EHMT2	31	EHMT1
EHMT1	EHMT1	31	EHMT1
MTA1	MTA1	31	EHMT1
CENPS/CENPS-CORT	CENPS/CENPS-CORT	15	IGHMBP2
CDCA7L	CDCA7L	15	IGHMBP2
ZNF512B	ZNF512B	15	IGHMBP2
MBD1	MBD1	15	IGHMBP2
TFCP2	TFCP2	15	IGHMBP2
PARP2	PARP2	15	IGHMBP2
MECP2 (2)	MECP2 (2)	15	IGHMBP2
MECP2 (1)	MECP2 (1)	15	IGHMBP2
IGHMBP2	IGHMBP2	15	IGHMBP2
TOP3A	TOP3A	15	IGHMBP2
RMI2	RMI2	15	IGHMBP2
RMI1	RMI1	15	IGHMBP2
BLM	BLM	15	IGHMBP2
FAAP24	FAAP24	15	IGHMBP2
CENPX	CENPX	15	IGHMBP2
ZBTB33	ZBTB33	15	IGHMBP2
FBXO11	FBXO11	15	IGHMBP2
CDYL2	CDYL2	15	IGHMBP2
CBX5	CBX5	10	CBX5
CBX3	CBX3	10	CBX5
MPHOSPH8	MPHOSPH8	10	CBX5
UHRF1	UHRF1	10	CBX5
ATRX	ATRX	10	CBX5
COMMD3-BMI1/BMI1	COMMD3-BMI1/BMI1	22	COMMD3-BMI1/BMI1
CBX2	CBX2	22	COMMD3-BMI1/BMI1
PHF19	PHF19	22	COMMD3-BMI1/BMI1
PHF1	PHF1	22	COMMD3-BMI1/BMI1
EZH1	EZH1	22	COMMD3-BMI1/BMI1
PHC3	PHC3	23	PHC3
PHC2	PHC2	23	PHC3
CBX8	CBX8	23	PHC3
CBX4	CBX4	23	PHC3
ORC2	ORC2	34	ORC1
LRWD1	LRWD1	34	ORC1
ORC1	ORC1	34	ORC1
ORC4	ORC4	34	ORC1
ORC5	ORC5	34	ORC1
ORC3	ORC3	34	ORC1
NFRKB	NFRKB	4	INO80B
INO80B	INO80B	4	INO80B
ACTR5	ACTR5	4	INO80B
INO80C	INO80C	4	INO80B
INO80E	INO80E	4	INO80B
UCHL5	UCHL5	4	INO80B
INO80	INO80	4	INO80B
TFPT	TFPT	4	INO80B
TBRG1	TBRG1	4	INO80B
ZMYND8 (2)	ZMYND8 (2)	4	INO80B
YY1	YY1	4	INO80B
INO80D	INO80D	4	INO80B
MCRS1	MCRS1	4	INO80B
ZNF148	ZNF148	4	INO80B
ACTR8	ACTR8	4	INO80B
NSD3 (1)	NSD3 (1)	4	INO80B
CDK9	CDK9	14	CDK9
BRD9	BRD9	14	CDK9
PWWP2B	PWWP2B	14	CDK9
MED30	MED30	14	CDK9
MED22	MED22	14	CDK9
CDK8	CDK8	14	CDK9
BICRA	BICRA	14	CDK9
BRD4	BRD4	9	NSD2
BRD3	BRD3	9	NSD2
NSD2	NSD2	9	NSD2
CCNT1	CCNT1	9	NSD2
BRD2	BRD2	9	NSD2
SUPT5H	SUPT5H	9	NSD2
ATAD5	ATAD5	9	NSD2
POLE3	POLE3	9	NSD2
CHRAC1	CHRAC1	9	NSD2
BAZ1A	BAZ1A	9	NSD2
NIPBL	NIPBL	9	NSD2
MAU2	MAU2	9	NSD2
INTS9	INTS9	9	NSD2
INTS13	INTS13	9	NSD2
INTS5	INTS5	9	NSD2
INTS14	INTS14	9	NSD2
INTS4	INTS4	9	NSD2
INTS10	INTS10	9	NSD2
ZMYND8 (1)	ZMYND8 (1)	9	NSD2
PPP2CA/PPP2CB	PPP2CA/PPP2CB	9	NSD2
INTS11	INTS11	9	NSD2
ZNF687	ZNF687	9	NSD2
SMARCA5	SMARCA5	9	NSD2
KDM1B	KDM1B	9	NSD2
MED21	MED21	9	NSD2
MED11	MED11	9	NSD2
MED6	MED6	9	NSD2
MED29	MED29	9	NSD2
MED8	MED8	9	NSD2
ZNF740	ZNF740	9	NSD2
SUPT4H1	SUPT4H1	9	NSD2
ZNF592	ZNF592	9	NSD2
BAZ1B	BAZ1B	12	BAZ1B
KMT2A	KMT2A	7	ASH2L
ASH2L	ASH2L	7	ASH2L
RBBP5	RBBP5	7	ASH2L
HCFC2	HCFC2	7	ASH2L
DPY30	DPY30	7	ASH2L
MEN1	MEN1	7	ASH2L
KMT2B	KMT2B	7	ASH2L
PRDM11	PRDM11	7	ASH2L
ZFX/ZFY	ZFX/ZFY	7	ASH2L
JADE3	JADE3	7	ASH2L
WDR5	WDR5	7	ASH2L
TCF7L2	TCF7L2	7	ASH2L
BCORL1 (1)	BCORL1 (1)	7	ASH2L
SAMD1	SAMD1	7	ASH2L
L3MBTL3	L3MBTL3	7	ASH2L
