Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,calc. pI
MYH9,1960,35190,178,178,142,P35579,71,Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4,MYH9,226.4,1244592,5.6
CONT_P22629,183,13859,9,9,9,CONT_P22629,43,Streptavidin OS=Streptomyces avidinii PE=1 SV=1,,18.8,639027,8.35
SPTAN1 (1),2477,14713,177,177,4,Q13813-2,74,"Isoform 2 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1",SPTAN1,284.9,543452,5.35
SPTAN1 (2),2452,14454,175,175,2,Q13813-3,74,"Isoform 3 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1",SPTAN1,282.1,534079,5.34
SPTBN1,2364,12324,148,148,16,Q01082,73,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2",SPTBN1,274.4,455043,5.57
PRKDC,4128,13847,218,218,217,P78527,59,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3,PRKDC,468.8,433599,7.12
ACTC1,377,15947,26,26,8,P68032,66,"Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1",ACTC1,42.0,424581,5.39
XRCC6,609,9021,47,47,47,P12956,70,X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2,XRCC6,69.8,294315,6.64
XRCC5,732,8908,53,53,53,P13010,83,X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3,XRCC5,82.7,279640,5.81
ALPI,528,7882,27,27,27,P09923,62,Intestinal-type alkaline phosphatase OS=Homo sapiens GN=ALPI PE=1 SV=2,ALPI,56.8,274771,5.86
LMO7,1349,7794,92,92,92,Q8WWI1-3,69,Isoform 3 of LIM domain only protein 7 OS=Homo sapiens GN=LMO7,LMO7,153.6,274720,7.75
PARP1,1014,9152,62,62,62,P09874,63,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4,PARP1,113.0,272989,8.88
ACTBL2,376,9030,11,11,2,Q562R1,27,Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2,ACTBL2,42.0,253516,5.59
MYO18A,2054,7919,134,134,134,Q92614,68,Unconventional myosin-XVIIIa OS=Homo sapiens GN=MYO18A PE=1 SV=3,MYO18A,233.0,250252,6.3
MKI67,3256,7558,147,147,19,P46013,60,Antigen KI-67 OS=Homo sapiens GN=MKI67 PE=1 SV=2,MKI67,358.5,244172,9.45
DHX9,1270,6614,69,69,68,Q08211,66,ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4,DHX9,140.9,235434,6.84
ACTN4,911,6860,62,62,42,O43707,72,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,ACTN4,104.8,234196,5.44
ACACA,2383,7345,122,122,122,Q13085-4,65,Isoform 4 of Acetyl-CoA carboxylase 1 OS=Homo sapiens GN=ACACA,ACACA,269.8,233120,6.52
KRT1,644,5222,56,56,36,CONT_P04264,67,"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6",KRT1,66.0,229441,8.12
RFC1,1148,5356,57,57,57,P35251,55,Replication factor C subunit 1 OS=Homo sapiens GN=RFC1 PE=1 SV=4,RFC1,128.2,212501,9.36
KRT9,623,4811,46,46,45,P35527,82,"SWISS-PROT:P35527 Tax_Id=9606 Gene_Symbol=KRT9 Keratin, type I cytoskeletal 9",KRT9,62.1,205682,5.3
PC,1178,5686,59,59,59,P11498,71,"Pyruvate carboxylase, mitochondrial OS=Homo sapiens GN=PC PE=1 SV=2",PC,129.6,201747,6.84
