Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot
MYH9,1960,20013,170,170,137,P35579,71,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,MYH9,226.4,639499
SPTAN1,2472,11500,205,205,204,Q13813,79,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",SPTAN1,284.4,391743
PRKDC,4128,12445,246,246,246,P78527,64,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,PRKDC,468.8,377897
ACTB,375,10826,30,30,13,P60709,82,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",ACTB,41.7,369811
SPTBN1,2364,10348,180,180,166,Q01082,79,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",SPTBN1,274.4,350270
TOP2A,1531,8669,105,105,88,P11388,66,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,TOP2A,174.3,264410
MKI67,3256,6699,172,172,172,P46013,63,Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,MKI67,358.5,211523
PARP1,1014,7163,80,80,80,P09874,75,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,PARP1,113.0,202893
LMO7,1683,5772,96,96,96,Q8WWI1,55,LIM domain only protein 7 OS=Homo sapiens OX=9606 GN=LMO7 PE=1 SV=3,LMO7,192.6,193747
NUMA1,2115,4804,129,129,128,Q14980,67,Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2,NUMA1,238.1,165444
XRCC6,609,5355,47,47,47,P12956,64,X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2,XRCC6,69.8,154063
ACTN4,911,4303,63,63,40,O43707,75,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,ACTN4,104.8,147592
NPM1,294,3918,18,18,18,P06748,69,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,NPM1,32.6,144610
XRCC5,732,5314,50,50,50,P13010,77,X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3,XRCC5,82.7,139810
KRT1,644,3449,61,61,50,P04264,76,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",KRT1,66.0,139389
ALPI,528,4263,25,25,25,P09923,61,Intestinal-type alkaline phosphatase OS=Homo sapiens OX=9606 GN=ALPI PE=1 SV=2,ALPI,56.8,136857
SUPT16H,1047,4513,69,69,69,Q9Y5B9,65,FACT complex subunit SPT16 OS=Homo sapiens OX=9606 GN=SUPT16H PE=1 SV=1,SUPT16H,119.8,129460
RFC1,1148,3305,61,61,61,P35251,58,Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4,RFC1,128.2,125184
DHX9,1270,3727,68,68,68,Q08211,67,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,DHX9,140.9,124820
SPTBN2,2390,3814,137,137,123,O15020,64,"Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3",SPTBN2,271.2,115326
DDX21,783,3428,50,50,48,Q9NR30,64,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,DDX21,87.3,114542
ACTBL2,376,3608,10,10,2,Q562R1,25,Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2,ACTBL2,42.0,105953
ACTN1,892,3145,54,54,30,P12814,70,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,ACTN1,103.0,104903
TOP1,765,4557,53,53,47,P11387,54,DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2,TOP1,90.7,101155
H4C1,103,2774,16,16,16,P62805,62,Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2,H4C1,11.4,96565
SRRM2,2752,3166,89,89,89,Q9UQ35,40,Serine/arginine repetitive matrix protein 2 OS=Homo sapiens OX=9606 GN=SRRM2 PE=1 SV=2,SRRM2,299.4,95233
PLEC,4684,3569,227,227,226,Q15149,54,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,PLEC,531.5,94878
KRT9,623,2378,40,40,39,P35527,81,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",KRT9,62.0,91951
LIG3,1009,2876,53,53,53,P49916,58,DNA ligase 3 OS=Homo sapiens OX=9606 GN=LIG3 PE=1 SV=2,LIG3,112.8,91051
SVIL,2214,2888,89,89,89,O95425,50,Supervillin OS=Homo sapiens OX=9606 GN=SVIL PE=1 SV=2,SVIL,247.6,89661
CLTC,1675,2564,83,83,83,Q00610,61,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,CLTC,191.5,84057
MYH10,1976,2860,83,83,57,P35580,47,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,MYH10,228.9,83705
DDB1,1140,2914,60,60,60,Q16531,67,DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1,DDB1,126.9,80339
ACACA,2346,2782,109,109,109,Q13085,56,Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2,ACACA,265.4,80201
PC,1178,2462,56,56,56,P11498,62,"Pyruvate carboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=PC PE=1 SV=2",PC,129.6,79881
BLM,1417,2423,71,71,71,P54132,64,Bloom syndrome protein OS=Homo sapiens OX=9606 GN=BLM PE=1 SV=1,BLM,158.9,77991
MYO18A,2054,2644,117,117,117,Q92614,62,Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3,MYO18A,233.0,75342
KRT2,639,2043,48,48,36,P35908,73,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",KRT2,65.4,74718
KRT10,584,1993,36,36,28,P13645,62,"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",KRT10,58.8,74405
LUZP1,1076,2316,68,68,68,Q86V48,70,Leucine zipper protein 1 OS=Homo sapiens OX=9606 GN=LUZP1 PE=1 SV=2,LUZP1,120.2,73281
NCL,710,2009,27,27,27,P19338,48,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3,NCL,76.6,71617
HNRNPA2B1,353,1958,20,20,18,P22626,74,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,HNRNPA2B1,37.4,70819
XPC,940,2309,47,47,47,Q01831,50,DNA repair protein complementing XP-C cells OS=Homo sapiens OX=9606 GN=XPC PE=1 SV=4,XPC,105.9,70720
MPRIP,1025,2220,67,67,66,Q6WCQ1,71,Myosin phosphatase Rho-interacting protein OS=Homo sapiens OX=9606 GN=MPRIP PE=1 SV=3,MPRIP,116.5,69460
LIMA1,759,1952,42,42,42,Q9UHB6,65,LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1,LIMA1,85.2,68754
SSRP1,709,2152,33,33,33,Q08945,55,FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1,SSRP1,81.0,68051
PDCD11,1871,2364,76,76,76,Q14690,47,Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3,PDCD11,208.6,67918
TOP2B,1626,2573,83,83,66,Q02880,53,DNA topoisomerase 2-beta OS=Homo sapiens OX=9606 GN=TOP2B PE=1 SV=3,TOP2B,183.2,67651
BAZ1B,1483,2397,83,83,82,Q9UIG0,55,Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B PE=1 SV=2,BAZ1B,170.8,67322
H2BC12,126,1786,14,14,3,O60814,77,Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3,H2BC12,13.9,65983
NOLC1,699,2053,36,36,36,Q14978,56,Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2,NOLC1,73.6,64339
THRAP3,955,2208,44,44,43,Q9Y2W1,41,Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2,THRAP3,108.6,63497
ACIN1,1341,2120,55,55,55,Q9UKV3,51,Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2,ACIN1,151.8,63078
AHNAK,5890,2530,170,170,169,Q09666,57,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,AHNAK,628.7,61882
RPA1,616,1808,38,38,38,P27694,70,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens OX=9606 GN=RPA1 PE=1 SV=2,RPA1,68.1,61235
HNRNPA1,372,1838,19,19,5,P09651,51,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5,HNRNPA1,38.7,60985
MYBBP1A,1328,2014,63,63,63,Q9BQG0,54,Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2,MYBBP1A,148.8,60178
LIMCH1,1083,1823,58,58,58,Q9UPQ0,59,LIM and calponin homology domains-containing protein 1 OS=Homo sapiens OX=9606 GN=LIMCH1 PE=1 SV=4,LIMCH1,121.8,60113
NAT10,1025,1988,52,52,51,Q9H0A0,61,RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=2,NAT10,115.7,57262
SIPA1L1,1804,2151,90,90,86,O43166,61,Signal-induced proliferation-associated 1-like protein 1 OS=Homo sapiens OX=9606 GN=SIPA1L1 PE=1 SV=4,SIPA1L1,199.9,56516
AFAP1,730,1856,34,34,33,Q8N556,55,Actin filament-associated protein 1 OS=Homo sapiens OX=9606 GN=AFAP1 PE=1 SV=2,AFAP1,80.7,54900
RFC4,363,1416,26,26,26,P35249,77,Replication factor C subunit 4 OS=Homo sapiens OX=9606 GN=RFC4 PE=1 SV=2,RFC4,39.7,53817
KRT14,472,1608,40,40,14,P02533,73,"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",KRT14,51.5,53601
HNRNPU,825,1840,30,30,29,Q00839,41,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,HNRNPU,90.5,51957
BCLAF1,920,1934,40,40,39,Q9NYF8,47,Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2,BCLAF1,106.1,51632
NOP2,812,1566,38,38,38,P46087,56,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2,NOP2,89.2,51011
SMARCA5,1052,1962,68,68,68,O60264,59,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1,SMARCA5,121.8,50972
RFC5,340,1643,26,26,26,P40937,76,Replication factor C subunit 5 OS=Homo sapiens OX=9606 GN=RFC5 PE=1 SV=1,RFC5,38.5,50222
DDX17,729,1564,38,38,30,Q92841,57,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,DDX17,80.2,49545
RFC2,354,1545,24,24,24,P35250,71,Replication factor C subunit 2 OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=3,RFC2,39.1,48848
PPP1R12A,1030,1680,54,54,54,O14974,51,Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1,PPP1R12A,115.2,48829
RFC3,356,1702,28,28,28,P40938,78,Replication factor C subunit 3 OS=Homo sapiens OX=9606 GN=RFC3 PE=1 SV=2,RFC3,40.5,48685
HNRNPM,730,1581,45,45,45,P52272,66,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,HNRNPM,77.5,48678
SRSF1,248,1652,19,19,18,Q07955,54,Serine/arginine-rich splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=2,SRSF1,27.7,48590
FLII,1269,1529,51,51,51,Q13045,51,Protein flightless-1 homolog OS=Homo sapiens OX=9606 GN=FLII PE=1 SV=2,FLII,144.7,48231
KRT16,473,1350,37,37,19,P08779,69,"Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",KRT16,51.2,46515
MYO1C,1063,1554,49,49,48,O00159,51,Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4,MYO1C,121.6,44639
