Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,unmodH3_unmodH5_200bp_scr_repl1,unmodH3_unmodH5_200bp_scr_repl2,unmodH3_unmodH5_200bp_scr_repl3,unmodH3_unmodH6_200bp_SV40prom_repl1,unmodH3_unmodH6_200bp_SV40prom_repl2,unmodH3_unmodH6_200bp_SV40prom_repl3
MYH9,1960,9223,158,158,137,P35579,69,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,MYH9,226.4,297789,2617519130.66667,3461079216.0,2035036706.66667,2035758648.0,1853010973.33333,1776609202.66667
SPTAN1,2472,5575,203,203,201,Q13813,77,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",SPTAN1,284.4,189967,880925130.666667,1152324848.0,842798818.666667,744848885.333333,727173829.333333,792537786.666667
PRKDC,4128,5822,228,228,228,P78527,55,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,PRKDC,468.8,175811,880042685.333333,822381432.0,607981032.0,615931510.229167,493314362.666667,618179465.333333
SPTBN1,2364,4865,165,165,152,Q01082,75,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",SPTBN1,274.4,167574,984979648.0,1188865082.66667,786591664.0,523645226.666667,549636400.0,827201578.666667
ACTB,375,4951,29,29,11,P60709,82,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",ACTB,41.7,164631,20858008416.1927,25678425539.513,19219239278.375,17926949263.7188,14875292871.3021,18204997549.3802
TOP2A,1531,4492,97,97,79,P11388,61,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,TOP2A,174.3,140655,1642797540.66667,2085391970.66667,1306946212.25,1918733830.33333,1952520672.0,1808528292.66667
MKI67,3256,3115,168,168,168,P46013,61,Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,MKI67,358.5,99218,368632723.333333,423762417.333333,506935890.666667,235934554.666667,196362400.333333,232815443.0
LMO7,1683,2788,94,94,94,Q8WWI1,54,LIM domain only protein 7 OS=Homo sapiens OX=9606 GN=LMO7 PE=1 SV=3,LMO7,192.6,94481,761473687.333333,944352073.166667,752340716.0,613438168.0,734280814.666667,681920252.0
PARP1,1014,3189,68,68,68,P09874,60,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,PARP1,113.0,89725,2610608608.5,3804219141.0,2261475401.95833,4923655672.33333,4924647875.75,5052813645.66667
ACTA2,377,2914,19,19,7,P62736,51,"Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1",ACTA2,42.0,80718,6968860812.0,8031129946.33333,4267407796.66667,5587378211.66667,4287724023.33333,3639044935.16667
XRCC6,609,2689,44,44,44,P12956,60,X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2,XRCC6,69.8,80058,2677179840.33333,2987760799.83333,1788814162.0,2658139184.33333,2364680840.5,2857461872.0
KRT1,644,1802,55,55,44,P04264,67,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",KRT1,66.0,75042,3653061201.66667,2732673802.66667,3045564627.0,2355627372.0,2685431001.0,2622262510.66667
NPM1,294,2046,18,18,17,P06748,69,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,NPM1,32.6,74288,10324294120.3333,11888293077.3333,9791759810.33333,7917708798.5,8820598824.0,9587964498.66667
NUMA1,2115,2085,122,122,120,Q14980,67,Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2,NUMA1,238.1,72074,388348629.333333,388772636.0,331058380.0,288905682.666667,242218962.666667,287903250.666667
ACTN4,911,2076,63,63,41,O43707,71,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,ACTN4,104.8,71828,502219766.666667,533255313.333333,370479364.666667,388752888.0,343660446.666667,441742402.666667
XRCC5,732,2444,44,44,43,P13010,66,X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3,XRCC5,82.7,64310,3122787394.33333,3560269294.16667,2399027389.66667,3276638623.0,2709356432.33333,3249064382.08333
SUPT16H,1047,2156,65,65,65,Q9Y5B9,55,FACT complex subunit SPT16 OS=Homo sapiens OX=9606 GN=SUPT16H PE=1 SV=1,SUPT16H,119.8,62860,1204959253.33333,1431602479.33333,1023816114.66667,801736560.0,768707032.0,983280773.333333
RFC1,1148,1552,58,58,58,P35251,55,Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4,RFC1,128.2,59714,840526866.0,1079614109.33333,616600182.666667,706753214.0,686302696.333333,591749496.0
ALPI,528,1874,24,24,24,P09923,60,Intestinal-type alkaline phosphatase OS=Homo sapiens OX=9606 GN=ALPI PE=1 SV=2,ALPI,56.8,57617,3113940127.41667,3629367110.0,2592622592.0,1651325469.88542,2134093695.83333,2686564942.0
DHX9,1270,1690,60,60,59,Q08211,58,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,DHX9,140.9,56188,761218837.333333,936115985.333333,673837674.166667,588390408.0,566171294.666667,620515614.666667
SPTBN2,2390,1849,122,122,110,O15020,57,"Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3",SPTBN2,271.2,56175,117635053.333333,161925229.333333,144083420.0,85093480.0,172252685.333333,115671699.333333
DDX21,783,1614,48,48,45,Q9NR30,64,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,DDX21,87.3,53615,1248433524.0,1428418704.25,981419942.25,877712721.0,846972550.666667,969433421.333333
SRRM2,2752,1675,88,88,88,Q9UQ35,42,Serine/arginine repetitive matrix protein 2 OS=Homo sapiens OX=9606 GN=SRRM2 PE=1 SV=2,SRRM2,299.4,52033,690842560.0,763714448.0,707618224.0,725157704.0,768665224.0,819806992.0
ACTN1,892,1532,54,54,32,P12814,68,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,ACTN1,103.0,51090,259333280.0,325357730.0,230440976.666667,225723968.333333,158153871.333333,231556062.0
KRT9,623,1250,38,38,37,P35527,80,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",KRT9,62.0,49741,3509866050.0,3005347797.95833,2982715748.0,2304049704.16667,2341851758.25,2847581983.375
ACTBL2,376,1723,10,10,2,Q562R1,25,Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2,ACTBL2,42.0,49639,37909176.0,30447842.0,14659940.0,21965618.0,12743762.0,41246573.0
TOP1,765,2174,52,52,52,P11387,54,DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2,TOP1,90.7,47446,1769569275.79167,2462803156.5,1557771873.91667,2776223255.5,2937000216.66667,2534972306.75
H4C1,103,1298,13,13,13,P62805,47,Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2,H4C1,11.4,46491,20758864723.2396,28864370245.8438,17512756587.4323,17445241218.7057,18916488883.6615,17820267547.7083
PLEC,4684,1660,204,204,202,Q15149,49,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,PLEC,531.5,43578,1379433890.0,1633671539.66667,1076581878.0,1364137058.0,1489844857.33333,1638638372.66667
SVIL,2214,1396,84,84,84,O95425,45,Supervillin OS=Homo sapiens OX=9606 GN=SVIL PE=1 SV=2,SVIL,247.6,43484,648731060.0,746117964.666667,607031840.0,543915770.833333,448816924.041667,545883798.0
